creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
hydrationceo,C4BbgRqrS8F,,"I can’t even get a burger and fries for under $30, BUT I CAN GET THIS COMBO FOR $26.99 🔥🔥🔥🔥🔥 

#inkeylist #scalptreatment #dove #densityserum #hairgrowth #dandruff #flakyscalp #scalpcare #haircare #hairgrowthproducts #hairproducts #scalpproducts",1909,posts/hydrationceo\2024-03-02_18-44-02_UTC.jpg,posts/hydrationceo\2024-03-02_18-44-02_UTC.mp4,2024-03-02 18:44:02,GraphVideo,"['inkeylist', 'scalptreatment', 'dove', 'densityserum', 'hairgrowth', 'dandruff', 'flakyscalp', 'scalpcare', 'haircare', 'hairgrowthproducts', 'hairproducts', 'scalpproducts']",True
hydrationceo,C3-3QnARjB5,,"The milk lip oil has a CHOKEHOLD on me 😩 

#sephora #sephoramakeup #makeupreview #makeuptips #milkmakeup #itcosmetics #abh #lys",1746,posts/hydrationceo\2024-03-01_18-48-20_UTC.jpg,posts/hydrationceo\2024-03-01_18-48-20_UTC.mp4,2024-03-01 18:48:20,GraphVideo,"['sephora', 'sephoramakeup', 'makeupreview', 'makeuptips', 'milkmakeup', 'itcosmetics', 'abh', 'lys']",True
hydrationceo,C380RZqrkAc,,"This is the craziest skincare myth that’s ever been busted in the history of EVER @theordinary #theordinary #theordinarypartner 

#skincare #hyaluronicacid #hyaluronicacidserum #serum #skintok #skintips",1517,posts/hydrationceo\2024-02-29_23-44-04_UTC.jpg,posts/hydrationceo\2024-02-29_23-44-04_UTC.mp4,2024-02-29 23:44:04,GraphVideo,"['theordinary', 'theordinarypartner', 'skincare', 'hyaluronicacid', 'hyaluronicacidserum', 'serum', 'skintok', 'skintips']",True
hydrationceo,C38GkNbrK45,,"Less self-loathing and more self-caring little missy 🫵 
 

#selfcare #selflove #anxiety #selfcaretips #selfcareday #mentalhealth #skincare",1672,posts/hydrationceo\2024-02-29_17-04-52_UTC.jpg,posts/hydrationceo\2024-02-29_17-04-52_UTC.mp4,2024-02-29 17:04:52,GraphVideo,"['selfcare', 'selflove', 'anxiety', 'selfcaretips', 'selfcareday', 'mentalhealth', 'skincare']",True
hydrationceo,C37uPNGLZNR,,"Not the st ives on the clarisonic 😭 

#skincare #skincarefail #stives #skincarememe #clarisonic #y2k #throwback",971,posts/hydrationceo\2024-02-29_13-31-57_UTC.jpg,posts/hydrationceo\2024-02-29_13-31-57_UTC.mp4,2024-02-29 13:31:57,GraphVideo,"['skincare', 'skincarefail', 'stives', 'skincarememe', 'clarisonic', 'y2k', 'throwback']",True
hydrationceo,C35ng5xroM-,,"In order of appearance ⭐️:

@elfcosmetics pure skin toner
@byoma milky toner 
@experimentwrld super saturated
@theordinary soothing & barrier repair
@naturiumskin barrier bounce
@stratiaskin lipid gold
@kiehls ultra repair stick
@kiehls barrier cream
@herocosmetics rescue balm

#skincare #skintok #barrierrepair #skinbarrier",4736,posts/hydrationceo\2024-02-28_17-56-20_UTC.jpg,posts/hydrationceo\2024-02-28_17-56-20_UTC.mp4,2024-02-28 17:56:20,GraphVideo,"['skincare', 'skintok', 'barrierrepair', 'skinbarrier']",True
hydrationceo,C33u7haLU_P,,"Now they make my fave (buttne blasting, kp killing) KP Bump Eraser Body Scrub in a STRAWBERRY SCENT and I’m living for it!! 🍓 @firstaidbeauty #ad 

#firstaidbeauty #kpbumperaser #kp #strawberryskin #meme #bodycare #showertok #showertime",1631,posts/hydrationceo\2024-02-28_00-21-04_UTC.jpg,posts/hydrationceo\2024-02-28_00-21-04_UTC.mp4,2024-02-28 00:21:04,GraphVideo,"['ad', 'firstaidbeauty', 'kpbumperaser', 'kp', 'strawberryskin', 'meme', 'bodycare', 'showertok', 'showertime']",True
hydrationceo,C32tGSwL4uB,,"Overhyped or justifiably hyped? 🤔 

#skincare #viralskincare #skincaretips #skincareproducts #sephoraskincare #sephora #fab #firstaidbeauty #yttp #drjart #charlottetilbury",3467,posts/hydrationceo\2024-02-27_14-46-42_UTC.jpg,posts/hydrationceo\2024-02-27_14-46-42_UTC.mp4,2024-02-27 14:46:42,GraphVideo,"['skincare', 'viralskincare', 'skincaretips', 'skincareproducts', 'sephoraskincare', 'sephora', 'fab', 'firstaidbeauty', 'yttp', 'drjart', 'charlottetilbury']",True
hydrationceo,C30mhRiJ7WH,,"How are we feeling about bright red blush? 🤔 

 

#redblush #tower28 #blush #blushtutorial #viralblush #makeupreview",2771,posts/hydrationceo\2024-02-26_19-09-35_UTC.jpg,posts/hydrationceo\2024-02-26_19-09-35_UTC.mp4,2024-02-26 19:09:35,GraphVideo,"['redblush', 'tower28', 'blush', 'blushtutorial', 'viralblush', 'makeupreview']",True
hydrationceo,C3xb2VtrHUv,,"barrier bounce is a DREAM for us dry, flaky girlies 🦎 

 

#urea #skincare #barrierbounce #naturium #facialoils #serum #dryskin #flakyskin #skincareproducts",2199,posts/hydrationceo\2024-02-25_13-38-57_UTC.jpg,posts/hydrationceo\2024-02-25_13-38-57_UTC.mp4,2024-02-25 13:38:57,GraphVideo,"['urea', 'skincare', 'barrierbounce', 'naturium', 'facialoils', 'serum', 'dryskin', 'flakyskin', 'skincareproducts']",True
