,creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video,audio_url,audio_transcript,en_audio_transcript
0,reeti_shop,C7jn7HGySU8,,"Green dreams and sunny schemes 🌿✨

#ColorPop #SummerStyle #ColorfulCoord #SummerVibes #StylishSustainability #ConsciousClothing #Reeti",-1,posts/reeti_shop/2024-05-29_15-00-00_UTC_2.jpg,posts/reeti_shop/2024-05-29_15-00-00_UTC_2.jpg,2024-05-29 15:00:00,GraphSidecar,"['colorpop', 'summerstyle', 'colorfulcoord', 'summervibes', 'stylishsustainability', 'consciousclothing', 'reeti']",False,,,
1,reeti_shop,C7ekJfXvZTU,,"Patience is a virtue, but these pants are worth the WAIT. 
A must-have for your summer wardrobe!! ☀️

#SummerFashion #Denim #ConsciousClothing",-1,posts/reeti_shop/2024-05-27_15-50-48_UTC_1.jpg,posts/reeti_shop/2024-05-27_15-50-48_UTC_1.jpg,2024-05-27 15:50:48,GraphSidecar,"['summerfashion', 'denim', 'consciousclothing']",False,,,
2,reeti_shop,C7RmZwQPbjB,,"Versatile elegance: perfect for the office and a night out ✨ 

#WorkToWeekend #SmartCasual #ChicStyle #OfficeFashion #DayToNight #EffortlessElegance #OOTD  #WardrobeEssentials",-1,posts/reeti_shop/2024-05-22_15-00-23_UTC_1.jpg,posts/reeti_shop/2024-05-22_15-00-23_UTC_1.jpg,2024-05-22 15:00:23,GraphSidecar,"['worktoweekend', 'smartcasual', 'chicstyle', 'officefashion', 'daytonight', 'effortlesselegance', 'ootd', 'wardrobeessentials']",False,,,
3,reeti_shop,C7JoMOLAONi,,"Feeling ladylike in @reeti_shop 🌸
•
•
•
Find link in Bio",97,posts/reeti_shop/2024-05-19_12-46-19_UTC.jpg,posts/reeti_shop/2024-05-19_12-46-19_UTC.mp4,2024-05-19 12:46:19,GraphVideo,[],True,audio_output/reeti_shop\2024-05-19_12-46-19_UTC.mp3,Thank you for watching.,Thank you for watching.
4,reeti_shop,C69IkcfgFMO,,"Summer chic just got a pink twist. Introducing our chic pink knitwear masterpiece from the latest collection 🌸

#SummerElegance #SummerFashion #Reeti #ConsciousClothing #Style",-1,posts/reeti_shop/2024-05-14_16-14-53_UTC_2.jpg,posts/reeti_shop/2024-05-14_16-14-53_UTC_2.jpg,2024-05-14 16:14:53,GraphSidecar,"['summerelegance', 'summerfashion', 'reeti', 'consciousclothing', 'style']",False,,,
5,reeti_shop,C6fBbFmAgVL,,"Rediscover the beauty of simplicity with our latest collection. Cool looks that capture the essence of the season ☀️

#Reeti #NewCollection #SummerVibes #SummerFashion #ConsciousFashion",-1,posts/reeti_shop/2024-05-02_23-35-30_UTC.jpg,posts/reeti_shop/2024-05-02_23-35-30_UTC.mp4,2024-05-02 23:35:30,GraphVideo,"['reeti', 'newcollection', 'summervibes', 'summerfashion', 'consciousfashion']",True,audio_output/reeti_shop\2024-05-02_23-35-30_UTC.mp3,,
6,reeti_shop,C41vJSyhfZa,,"Flashback to our unforgettable pop-up event on Feb 3rd and 4th! We were blown away by the overwhelming response – the sheer number of orders caught us off guard! 😱 It was beyond our wildest expectations! 

Taking a hiatus was a must as we regrouped to handle the influx of orders and ensure each one received the attention it deserved. But fear not! This is just the beginning. We’re already brainstorming and planning for many more exciting events in the future! Stay tuned for what’s next! 

#ExcitingJourney #CommunityEvents #PopUpSuccess",-1,posts/reeti_shop/2024-03-23_02-19-32_UTC.jpg,posts/reeti_shop/2024-03-23_02-19-32_UTC.mp4,2024-03-23 02:19:32,GraphVideo,"['excitingjourney', 'communityevents', 'popupsuccess']",True,audio_output/reeti_shop\2024-03-23_02-19-32_UTC.mp3,"Uh, vuelves a venir, te quiero. Dale, abrázame otro rato. Déjame, te soy sincero. Tienes tiempo que yo trato. Lleva tiempo buscando a quién cantarle. Sobre cuándo me siento voluntari. Dale, abrázame otro rato. Apapachame la vida entera.",
7,reeti_shop,C26GSp0PenQ,,"Day 1 vibes were all about conscious choices and mindful fashion. Let’s continue the journey on Day 2, embracing sustainable styles!! 🌱

🗓️ 3rd & 4th February 

📍 TrueBlack Coffee, Jubilee Hills",-1,posts/reeti_shop/2024-02-04_01-51-41_UTC.jpg,posts/reeti_shop/2024-02-04_01-51-41_UTC.jpg,2024-02-04 01:51:41,GraphImage,[],False,,,
8,reeti_shop,C2pf_bSBzJo,,"Excitement is building up! 
Our Reeti Pop-Up event is just around the corner, and we can’t wait to share the magic with you!! 

🗓️ 3rd & 4th February 

📍 True Black Coffee, Jubilee Hills. 

#ReetiPopUp #ConsciousClothing",-1,posts/reeti_shop/2024-01-28_15-12-50_UTC.jpg,posts/reeti_shop/2024-01-28_15-12-50_UTC.mp4,2024-01-28 15:12:50,GraphVideo,"['reetipopup', 'consciousclothing']",True,audio_output/reeti_shop\2024-01-28_15-12-50_UTC.mp3,"再观顾评论,点赞,轉发 让更多人知道 scout一维民主党生涯的贪污罪行。",
9,reeti_shop,C1wlOMRgIWE,,"Unleash your style with our latest collection! Hurry, it’s the final day to enjoy a 15% discount on the New Collection✨ 
#Reeti #NewCollection #NewYear #2024 #WinterWear",-1,posts/reeti_shop/2024-01-06_12-38-09_UTC_4.jpg,posts/reeti_shop/2024-01-06_12-38-09_UTC_4.jpg,2024-01-06 12:38:09,GraphSidecar,"['reeti', 'newcollection', 'newyear', '2024', 'winterwear']",False,,,
10,reeti_shop,C1uHG6_go8h,,"Unveiling the artistry of threads and the elegance of flairs with our latest collection 🧵

#NewCollection #NewYear #Reeti #2024",-1,posts/reeti_shop/2024-01-05_13-39-04_UTC.jpg,posts/reeti_shop/2024-01-05_13-39-04_UTC.mp4,2024-01-05 13:39:04,GraphVideo,"['newcollection', 'newyear', 'reeti', '2024']",True,audio_output/reeti_shop\2024-01-05_13-39-04_UTC.mp3,Thank you for watching.,Thank you for watching.
11,reeti_shop,C1rnHMZAK5n,,"Dive into a world of prints 🌈 
Snag your favourites now and enjoy a 15% off on the New Collection for the next 3 days only. Embrace winter fashion with a touch of boldness! 

#WinterPrints #NewCollection #Reeti #NewYear #2024",-1,posts/reeti_shop/2024-01-04_14-18-28_UTC_4.jpg,posts/reeti_shop/2024-01-04_14-18-28_UTC_4.jpg,2024-01-04 14:18:28,GraphSidecar,"['winterprints', 'newcollection', 'reeti', 'newyear', '2024']",False,,,
12,reeti_shop,C1pLDnCg4PJ,,Excited to introduce the New Collection - Dive into freshness and enjoy an exclusive 15% off for 3 days only. Elevate your style in 2024 with Reeti! #NewYearNewStyle #ReetiCollection #LimitedTimeOffer,-1,posts/reeti_shop/2024-01-03_15-34-59_UTC.jpg,posts/reeti_shop/2024-01-03_15-34-59_UTC.mp4,2024-01-03 15:34:59,GraphVideo,"['newyearnewstyle', 'reeticollection', 'limitedtimeoffer']",True,audio_output/reeti_shop\2024-01-03_15-34-59_UTC.mp3,"If you have any questions or other problems, please post them in the comments.","If you have any questions or other problems, please post them in the comments."
13,reeti_shop,C1evxGwA00s,,"From dreaming it up to living it out — 2023 has been a wild ride for Reeti. Reflecting on how we started, appreciating the incredible moments, and buzzing with excitement for what 2024 has in store! 

Get ready for more laughter, more culture and a whole lot more Reeti magic ✨ 

 #ReetiJourney #ReetiRecap #HowItStartedHowItsGoing #GratefulHeart #2024Ready",-1,posts/reeti_shop/2023-12-30_14-34-49_UTC.jpg,posts/reeti_shop/2023-12-30_14-34-49_UTC.mp4,2023-12-30 14:34:49,GraphVideo,"['reetijourney', 'reetirecap', 'howitstartedhowitsgoing', 'gratefulheart', '2024ready']",True,audio_output/reeti_shop\2023-12-30_14-34-49_UTC.mp3,"And with that, the 2023 season comes to an end. Good night.","And with that, the 2023 season comes to an end. Good night."
14,reeti_shop,C1ar2ddAIvh,,"Effortless elegance, everyday comfort 🎁

#Reeti #NewYear #Christmas #EndOfYear",-1,posts/reeti_shop/2023-12-29_00-32-47_UTC_1.jpg,posts/reeti_shop/2023-12-29_00-32-47_UTC_1.jpg,2023-12-29 00:32:47,GraphSidecar,"['reeti', 'newyear', 'christmas', 'endofyear']",False,,,
15,reeti_shop,C0zOsMIg7a8,,"Effortless elegance in a pristine white coord set. Pure sophistication for any occasion✨ 

#ConsciousFashion #Reeti #BeYou #Christmas #December #ChristmasFashion",-1,posts/reeti_shop/2023-12-13_16-47-36_UTC.jpg,posts/reeti_shop/2023-12-13_16-47-36_UTC.jpg,2023-12-13 16:47:36,GraphImage,"['consciousfashion', 'reeti', 'beyou', 'christmas', 'december', 'christmasfashion']",False,,,
16,reeti_shop,C0mWdOcg_GO,,"Wrap yourself in the festive magic of Christmas with Reeti’s gorgeous green dress 🎄 

Link in Bio! 

#Reeti #ChristmasFashion #Snow #ChristmasDecor #December #ConsciousClothing #NewYear",-1,posts/reeti_shop/2023-12-08_16-45-20_UTC_1.jpg,posts/reeti_shop/2023-12-08_16-45-20_UTC_1.jpg,2023-12-08 16:45:20,GraphSidecar,"['reeti', 'christmasfashion', 'snow', 'christmasdecor', 'december', 'consciousclothing', 'newyear']",False,,,
17,reeti_shop,C0UPOrfOuCG,,my outfit formula that’s on constant repeat- dress+ clogs + leopard! @reeti_shop grab 25% off this dress until Sunday :),36,posts/reeti_shop/2023-12-01_15-58-11_UTC.jpg,posts/reeti_shop/2023-12-01_15-58-11_UTC.mp4,2023-12-01 15:58:11,GraphVideo,[],True,audio_output/reeti_shop\2023-12-01_15-58-11_UTC.mp3,"Let's get ready with my new dress from Reedy. They make gorgeous, sustainable clothing, and when I tried it on, it was perfect. I added my matching purple clogs, and these shoes and this dress were made for each other. I've been really into slick ponytails, so I threw it up and then added a braid. Because it's kind of chilly out, I added one more layer. So of course, I went to pattern mixing with my favorite leopard. Then I added some jade earrings, and I am all set. I love this outfit combination, and I will definitely be re-wearing it. F*** it.","Let's get ready with my new dress from Reedy. They make gorgeous, sustainable clothing, and when I tried it on, it was perfect. I added my matching purple clogs, and these shoes and this dress were made for each other. I've been really into slick ponytails, so I threw it up and then added a braid. Because it's kind of chilly out, I added one more layer. So of course, I went to pattern mixing with my favorite leopard. Then I added some jade earrings, and I am all set. I love this outfit combination, and I will definitely be re-wearing it. F*** it."
18,reeti_shop,C0MfoNRO3vA,,don’t get me started on how much I love a good blockprint 🫶🏼 anddd 25% off all orders until Sunday! ✨@reeti_shop,70,posts/reeti_shop/2023-11-28_15-47-15_UTC.jpg,posts/reeti_shop/2023-11-28_15-47-15_UTC.mp4,2023-11-28 15:47:15,GraphVideo,[],True,audio_output/reeti_shop\2023-11-28_15-47-15_UTC.mp3,"I found the best sustainable clothing brand, Reedy. Every compostable package also has a tote bag. I got three clothing items all made specifically to order. I was so impressed with the handmade quality. I mean, look at this embroidery. All of the silhouettes and colors are perfect. I just love a brand that has the same eco-friendly purpose as I do.","I found the best sustainable clothing brand, Reedy. Every compostable package also has a tote bag. I got three clothing items all made specifically to order. I was so impressed with the handmade quality. I mean, look at this embroidery. All of the silhouettes and colors are perfect. I just love a brand that has the same eco-friendly purpose as I do."
19,reeti_shop,C0FKjJcBs4P,,"Unveiling the magic behind the threads! 

Shop now. Link in Bio.",-1,posts/reeti_shop/2023-11-25_19-26-21_UTC.jpg,posts/reeti_shop/2023-11-25_19-26-21_UTC.jpg,2023-11-25 19:26:21,GraphImage,[],False,,,
20,reeti_shop,C0BGaQUhRd7,,"Wrap yourself in stories woven with threads – where every stitch whispers the language of comfort and authenticity. 

Sale Now On!! 

#WearYourStory #ThanksgivingSale #BlackFridaySale #Reeti #ConsciousClothing",-1,posts/reeti_shop/2023-11-24_05-33-13_UTC.jpg,posts/reeti_shop/2023-11-24_05-33-13_UTC.jpg,2023-11-24 05:33:13,GraphImage,"['wearyourstory', 'thanksgivingsale', 'blackfridaysale', 'reeti', 'consciousclothing']",False,,,
21,reeti_shop,Cz6vIsuBuYy,,"Watch out! @bragyourstyle just slayed in Reeti’s collection. 🌟 Snag your show-stopping Thanksgiving looks during the epic sales! 
Coming soon….

#ThanksgivingStyle #ReetiFever",-1,posts/reeti_shop/2023-11-21_18-16-39_UTC.jpg,posts/reeti_shop/2023-11-21_18-16-39_UTC.mp4,2023-11-21 18:16:39,GraphVideo,"['thanksgivingstyle', 'reetifever']",True,audio_output/reeti_shop\2023-11-21_18-16-39_UTC.mp3,,
22,reeti_shop,Cz4Cqtthdkp,,"Something exciting is brewing! 🌟 
Brace yourselves for big savings on the horizon – our Black Friday Sale is almost here! Stay tuned for incredible deals that you won't want to miss.

#Reeti #BlackFriday #thanksgiving",-1,posts/reeti_shop/2023-11-20_17-07-21_UTC.jpg,posts/reeti_shop/2023-11-20_17-07-21_UTC.jpg,2023-11-20 17:07:21,GraphImage,"['reeti', 'blackfriday', 'thanksgiving']",False,,,
23,reeti_shop,Czow6__gvz-,,"Elevate your indoor coziness with Reeti layers – because comfort deserves a stylish twist 😇

#LayerUp #Reeti #FallFashion #BeYou #WinterIsComing",-1,posts/reeti_shop/2023-11-14_18-43-41_UTC_2.jpg,posts/reeti_shop/2023-11-14_18-43-41_UTC_2.jpg,2023-11-14 18:43:41,GraphSidecar,"['layerup', 'reeti', 'fallfashion', 'beyou', 'winteriscoming']",False,,,
24,reeti_shop,CzbgCpfg5b9,,"The perfect knitted companions for the season!! Dont miss out on the cozy chic - Shop now with our sitewide SALE!! 

#FallFashion #Reeti #BeYou #KnittedWear #Conscious #Artisans",-1,posts/reeti_shop/2023-11-09_15-12-22_UTC.jpg,posts/reeti_shop/2023-11-09_15-12-22_UTC.mp4,2023-11-09 15:12:22,GraphVideo,"['fallfashion', 'reeti', 'beyou', 'knittedwear', 'conscious', 'artisans']",True,audio_output/reeti_shop\2023-11-09_15-12-22_UTC.mp3,,
25,reeti_shop,CzJbXAGAciK,,"Fall into fashion with our vibrant collection 🌈 

#Reeti #FallFashion #BeYou #AddColortoYourLife #Vibrant",-1,posts/reeti_shop/2023-11-02_14-38-48_UTC_1.jpg,posts/reeti_shop/2023-11-02_14-38-48_UTC_1.jpg,2023-11-02 14:38:48,GraphSidecar,"['reeti', 'fallfashion', 'beyou', 'addcolortoyourlife', 'vibrant']",False,,,
26,reeti_shop,CzEEQpug129,,"Embrace the spooky season with a treat that's perfect for any occasion! Happy Halloween! 🕷️ 
#halloweenfun",-1,posts/reeti_shop/2023-10-31_12-40-46_UTC.jpg,posts/reeti_shop/2023-10-31_12-40-46_UTC.jpg,2023-10-31 12:40:46,GraphImage,['halloweenfun'],False,,,
27,reeti_shop,CzANJc_A33e,,"Embrace the Cozy Vibes of Fall with This Must-Have Product! 🍂

#FallFavorites #AutumnEssentials #ReetiRecommends",-1,posts/reeti_shop/2023-10-30_00-41-27_UTC_1.jpg,posts/reeti_shop/2023-10-30_00-41-27_UTC_1.jpg,2023-10-30 00:41:27,GraphSidecar,"['fallfavorites', 'autumnessentials', 'reetirecommends']",False,,,
28,reeti_shop,Cy6XdQ-gKIF,,"🍂 Embrace the Beauty of Fall with a Hint of Halloween! Check out this autumn-inspired product that's perfect for the season's cozy vibes. Who says Halloween can't be chic? 

#FallFavorites #HalloweenHints #ReetiRecommends",-1,posts/reeti_shop/2023-10-27_18-16-06_UTC_2.jpg,posts/reeti_shop/2023-10-27_18-16-06_UTC_2.jpg,2023-10-27 18:16:06,GraphSidecar,"['fallfavorites', 'halloweenhints', 'reetirecommends']",False,,,
29,reeti_shop,Cyis_EDgtyJ,,"Explore the collection now! Find link in bio! 

#Reeti #Culture #Tradition #Handmade #Artisanal",-1,posts/reeti_shop/2023-10-18_13-42-27_UTC.jpg,posts/reeti_shop/2023-10-18_13-42-27_UTC.jpg,2023-10-18 13:42:27,GraphImage,"['reeti', 'culture', 'tradition', 'handmade', 'artisanal']",False,,,
