,creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video,audio_url,audio_transcript,en_audio_transcript
0,hydrationceo,C4BbgRqrS8F,,"I can’t even get a burger and fries for under $30, BUT I CAN GET THIS COMBO FOR $26.99 🔥🔥🔥🔥🔥 

#inkeylist #scalptreatment #dove #densityserum #hairgrowth #dandruff #flakyscalp #scalpcare #haircare #hairgrowthproducts #hairproducts #scalpproducts",1909,posts/hydrationceo\2024-03-02_18-44-02_UTC.jpg,posts/hydrationceo\2024-03-02_18-44-02_UTC.mp4,2024-03-02 18:44:02,GraphVideo,"['inkeylist', 'scalptreatment', 'dove', 'densityserum', 'hairgrowth', 'dandruff', 'flakyscalp', 'scalpcare', 'haircare', 'hairgrowthproducts', 'hairproducts', 'scalpproducts']",True,audio_output/hydrationceo\2024-03-02_18-44-02_UTC.mp3,,
1,hydrationceo,C3-3QnARjB5,,"The milk lip oil has a CHOKEHOLD on me 😩 

#sephora #sephoramakeup #makeupreview #makeuptips #milkmakeup #itcosmetics #abh #lys",1746,posts/hydrationceo\2024-03-01_18-48-20_UTC.jpg,posts/hydrationceo\2024-03-01_18-48-20_UTC.mp4,2024-03-01 18:48:20,GraphVideo,"['sephora', 'sephoramakeup', 'makeupreview', 'makeuptips', 'milkmakeup', 'itcosmetics', 'abh', 'lys']",True,audio_output/hydrationceo\2024-03-01_18-48-20_UTC.mp3,"These are the absolute most slept on makeup products at Sephora. Y'all have to hype up to say and Jisoo when milk is making one of the best lip oils at Sephora. Super glossy, not sticky, and the colors are amazing. If y'all want a creamy concealer that will not budge on the dry down, I asked a drag queen what she used on her under eyes and it was this. So you know it's good. Liz is straight up giving us our money's worth every single time. This cream blush is so good, so pigmented. It's a huge pan and it's only $18. I am a foundation hater. I hate the way it looks on my skin. This looks amazing on my skin. It doesn't settle into fine lines. It just looks dewy and gorgeous.","These are the absolute most slept on makeup products at Sephora. Y'all have to hype up to say and Jisoo when milk is making one of the best lip oils at Sephora. Super glossy, not sticky, and the colors are amazing. If y'all want a creamy concealer that will not budge on the dry down, I asked a drag queen what she used on her under eyes and it was this. So you know it's good. Liz is straight up giving us our money's worth every single time. This cream blush is so good, so pigmented. It's a huge pan and it's only $18. I am a foundation hater. I hate the way it looks on my skin. This looks amazing on my skin. It doesn't settle into fine lines. It just looks dewy and gorgeous."
2,hydrationceo,C380RZqrkAc,,"This is the craziest skincare myth that’s ever been busted in the history of EVER @theordinary #theordinary #theordinarypartner 

#skincare #hyaluronicacid #hyaluronicacidserum #serum #skintok #skintips",1517,posts/hydrationceo\2024-02-29_23-44-04_UTC.jpg,posts/hydrationceo\2024-02-29_23-44-04_UTC.mp4,2024-02-29 23:44:04,GraphVideo,"['theordinary', 'theordinarypartner', 'skincare', 'hyaluronicacid', 'hyaluronicacidserum', 'serum', 'skintok', 'skintips']",True,audio_output/hydrationceo\2024-02-29_23-44-04_UTC.mp3,"Truly the wildest thing I've learned this year is that you actually don't have to apply hyaluronic acid on damp skin. You can apply it on dry skin. And of course, when I say hyaluronic acid, I mean the only hyaluronic acid that exists to me, the ordinary hyaluronic acid plus B5. And this is the upgraded formula, by the way. So here's the story. I love the original hyaluronic acid, but it's a little bit sticky on the skin. And apparently a lot of people had that feedback because they went back and they redid the formula to make the texture nicer, and then they also added some new stuff. So when they redid the formula, they made it more lightweight. They added two more forms of hyaluronic acid, and they added ceramides. So you're still getting that plump and hydration, but with additional barrier support. So they threw this big party to celebrate, which I got to go to, I was so excited. And I talked to the person who helped reformulate this, and they said that you can use it on damp or dry skin. Anyway, it just goes to show that there's a ton of variation in skincare, and you should always ask questions because you never know what you might learn. You never know.","Truly the wildest thing I've learned this year is that you actually don't have to apply hyaluronic acid on damp skin. You can apply it on dry skin. And of course, when I say hyaluronic acid, I mean the only hyaluronic acid that exists to me, the ordinary hyaluronic acid plus B5. And this is the upgraded formula, by the way. So here's the story. I love the original hyaluronic acid, but it's a little bit sticky on the skin. And apparently a lot of people had that feedback because they went back and they redid the formula to make the texture nicer, and then they also added some new stuff. So when they redid the formula, they made it more lightweight. They added two more forms of hyaluronic acid, and they added ceramides. So you're still getting that plump and hydration, but with additional barrier support. So they threw this big party to celebrate, which I got to go to, I was so excited. And I talked to the person who helped reformulate this, and they said that you can use it on damp or dry skin. Anyway, it just goes to show that there's a ton of variation in skincare, and you should always ask questions because you never know what you might learn. You never know."
3,hydrationceo,C38GkNbrK45,,"Less self-loathing and more self-caring little missy 🫵 
 

#selfcare #selflove #anxiety #selfcaretips #selfcareday #mentalhealth #skincare",1672,posts/hydrationceo\2024-02-29_17-04-52_UTC.jpg,posts/hydrationceo\2024-02-29_17-04-52_UTC.mp4,2024-02-29 17:04:52,GraphVideo,"['selfcare', 'selflove', 'anxiety', 'selfcaretips', 'selfcareday', 'mentalhealth', 'skincare']",True,audio_output/hydrationceo\2024-02-29_17-04-52_UTC.mp3,"I have been so anxious recently that my arms keep going numb. That is the level that we are on right now. And we need to take it down a couple of notches. Whenever I get anxious like this, I am the meanest person to myself. Like I am my own middle school bully. It is a nightmare. So here's all the shit that we're gonna do to chill the fuck out this weekend. One, affirmations bitch. This is the mirror that I stand at and I tell myself that I am the hottest woman alive. That I am so smart. I'm a genius. No one can ever top me. That's step one. We're gonna put on our laziest, sloppiest, blobbiest outfit. And we're gonna go for a long ass walk to a cute coffee shop to pick up a little iced lavender Oloré latte. Oh, by the way, the phone, she's in the pocket. The phone is in the pocket. We are not looking at the phone. We are listening to K-pop on our headphones and we are not answering tech messages. Last thing, very important, everything shower. And we're using all of the expensive stuff that we feel like we can't use because we just save it for a special occasion. We are using that. The special occasion is Thursday night. Sheet mask, our best one. You cannot be sad when you have a stupid little sheet mask on your face. Probably one with like an animal print or like the bright green reusable one, like cute shit. Last thing, we're gonna order ourselves a little dinner because we deserve it. And we're gonna plop our little ass down and watch the last season of Salt Lake City Housewives again because that shit was insane.","I have been so anxious recently that my arms keep going numb. That is the level that we are on right now. And we need to take it down a couple of notches. Whenever I get anxious like this, I am the meanest person to myself. Like I am my own middle school bully. It is a nightmare. So here's all the shit that we're gonna do to chill the fuck out this weekend. One, affirmations bitch. This is the mirror that I stand at and I tell myself that I am the hottest woman alive. That I am so smart. I'm a genius. No one can ever top me. That's step one. We're gonna put on our laziest, sloppiest, blobbiest outfit. And we're gonna go for a long ass walk to a cute coffee shop to pick up a little iced lavender Oloré latte. Oh, by the way, the phone, she's in the pocket. The phone is in the pocket. We are not looking at the phone. We are listening to K-pop on our headphones and we are not answering tech messages. Last thing, very important, everything shower. And we're using all of the expensive stuff that we feel like we can't use because we just save it for a special occasion. We are using that. The special occasion is Thursday night. Sheet mask, our best one. You cannot be sad when you have a stupid little sheet mask on your face. Probably one with like an animal print or like the bright green reusable one, like cute shit. Last thing, we're gonna order ourselves a little dinner because we deserve it. And we're gonna plop our little ass down and watch the last season of Salt Lake City Housewives again because that shit was insane."
4,hydrationceo,C37uPNGLZNR,,"Not the st ives on the clarisonic 😭 

#skincare #skincarefail #stives #skincarememe #clarisonic #y2k #throwback",971,posts/hydrationceo\2024-02-29_13-31-57_UTC.jpg,posts/hydrationceo\2024-02-29_13-31-57_UTC.mp4,2024-02-29 13:31:57,GraphVideo,"['skincare', 'skincarefail', 'stives', 'skincarememe', 'clarisonic', 'y2k', 'throwback']",True,audio_output/hydrationceo\2024-02-29_13-31-57_UTC.mp3,包 안kum 비가 수없이 와 도로에서도 빌로보다 가,
5,hydrationceo,C35ng5xroM-,,"In order of appearance ⭐️:

@elfcosmetics pure skin toner
@byoma milky toner 
@experimentwrld super saturated
@theordinary soothing & barrier repair
@naturiumskin barrier bounce
@stratiaskin lipid gold
@kiehls ultra repair stick
@kiehls barrier cream
@herocosmetics rescue balm

#skincare #skintok #barrierrepair #skinbarrier",4736,posts/hydrationceo\2024-02-28_17-56-20_UTC.jpg,posts/hydrationceo\2024-02-28_17-56-20_UTC.mp4,2024-02-28 17:56:20,GraphVideo,"['skincare', 'skintok', 'barrierrepair', 'skinbarrier']",True,audio_output/hydrationceo\2024-02-28_17-56-20_UTC.mp3,"Craft mac and cheese. It's like my bathrobe and slippers had a baby on my tongue. Craft mac and cheese. If your parents don't buy it, stop loving them. You'll take it to the freshman dance and you'll get to first base. You guys Rexham fans? So good you'll want to fire your grandma. Like laying in a warm wet bed that you're not ashamed of. If you don't like it, I'll find you.","Craft mac and cheese. It's like my bathrobe and slippers had a baby on my tongue. Craft mac and cheese. If your parents don't buy it, stop loving them. You'll take it to the freshman dance and you'll get to first base. You guys Rexham fans? So good you'll want to fire your grandma. Like laying in a warm wet bed that you're not ashamed of. If you don't like it, I'll find you."
6,hydrationceo,C33u7haLU_P,,"Now they make my fave (buttne blasting, kp killing) KP Bump Eraser Body Scrub in a STRAWBERRY SCENT and I’m living for it!! 🍓 @firstaidbeauty #ad 

#firstaidbeauty #kpbumperaser #kp #strawberryskin #meme #bodycare #showertok #showertime",1631,posts/hydrationceo\2024-02-28_00-21-04_UTC.jpg,posts/hydrationceo\2024-02-28_00-21-04_UTC.mp4,2024-02-28 00:21:04,GraphVideo,"['ad', 'firstaidbeauty', 'kpbumperaser', 'kp', 'strawberryskin', 'meme', 'bodycare', 'showertok', 'showertime']",True,audio_output/hydrationceo\2024-02-28_00-21-04_UTC.mp3,"I can't do it! I can't do it! I can't do it! I can't do it! Lord, no!",
7,hydrationceo,C32tGSwL4uB,,"Overhyped or justifiably hyped? 🤔 

#skincare #viralskincare #skincaretips #skincareproducts #sephoraskincare #sephora #fab #firstaidbeauty #yttp #drjart #charlottetilbury",3467,posts/hydrationceo\2024-02-27_14-46-42_UTC.jpg,posts/hydrationceo\2024-02-27_14-46-42_UTC.mp4,2024-02-27 14:46:42,GraphVideo,"['skincare', 'viralskincare', 'skincaretips', 'skincareproducts', 'sephoraskincare', 'sephora', 'fab', 'firstaidbeauty', 'yttp', 'drjart', 'charlottetilbury']",True,audio_output/hydrationceo\2024-02-27_14-46-42_UTC.mp3,"Which viral Sephora skincare products are actually worth your hard-earned coin? Yes, absolutely. Ultra Pair Cream is super nourishing, but is not heavy or sticky like some other creams can be. Absolutely not. This is a basic moisturizer with lots of fragrance in it, so it's not good for sensitive skin. And for $100, that's bananas, definitely skip this. Yes, absolutely. If my skin needs intense moisture or I busted up my barrier, I always reach for the Dr. Jart Ceramide and Cream. I'm low-key, high-key, a youth to people hater, but this cleanser is enemy number one. It is so stripping and drying. Yeah, no.","Which viral Sephora skincare products are actually worth your hard-earned coin? Yes, absolutely. Ultra Pair Cream is super nourishing, but is not heavy or sticky like some other creams can be. Absolutely not. This is a basic moisturizer with lots of fragrance in it, so it's not good for sensitive skin. And for $100, that's bananas, definitely skip this. Yes, absolutely. If my skin needs intense moisture or I busted up my barrier, I always reach for the Dr. Jart Ceramide and Cream. I'm low-key, high-key, a youth to people hater, but this cleanser is enemy number one. It is so stripping and drying. Yeah, no."
8,hydrationceo,C30mhRiJ7WH,,"How are we feeling about bright red blush? 🤔 

 

#redblush #tower28 #blush #blushtutorial #viralblush #makeupreview",2771,posts/hydrationceo\2024-02-26_19-09-35_UTC.jpg,posts/hydrationceo\2024-02-26_19-09-35_UTC.mp4,2024-02-26 19:09:35,GraphVideo,"['redblush', 'tower28', 'blush', 'blushtutorial', 'viralblush', 'makeupreview']",True,audio_output/hydrationceo\2024-02-26_19-09-35_UTC.mp3,"I'm scared. It's so red. So this is the Tower 28 Blush in the shade Dumpling Hour, and I have never worn a blush this red in my life, but we're trying something new, okay? And maybe it'll be good. Maybe it'll work out. Oh my god. Okay, okay, okay. Thank god she blends. I mean, the pigment is wild. Crazy. This is one dip. Okay, what do we think? I think it's got like a cool red undertone, so I think it actually would work on a lot of skin tones. Like, definitely more red than like my pink blushes, but I think this turned out really cute. And obviously, if you wanted to, you could build it up, but I'm not... I'm too pale for that. Lips too. So pretty! Okay, okay. I like it. I like it.","I'm scared. It's so red. So this is the Tower 28 Blush in the shade Dumpling Hour, and I have never worn a blush this red in my life, but we're trying something new, okay? And maybe it'll be good. Maybe it'll work out. Oh my god. Okay, okay, okay. Thank god she blends. I mean, the pigment is wild. Crazy. This is one dip. Okay, what do we think? I think it's got like a cool red undertone, so I think it actually would work on a lot of skin tones. Like, definitely more red than like my pink blushes, but I think this turned out really cute. And obviously, if you wanted to, you could build it up, but I'm not... I'm too pale for that. Lips too. So pretty! Okay, okay. I like it. I like it."
9,hydrationceo,C3xb2VtrHUv,,"barrier bounce is a DREAM for us dry, flaky girlies 🦎 

 

#urea #skincare #barrierbounce #naturium #facialoils #serum #dryskin #flakyskin #skincareproducts",2199,posts/hydrationceo\2024-02-25_13-38-57_UTC.jpg,posts/hydrationceo\2024-02-25_13-38-57_UTC.mp4,2024-02-25 13:38:57,GraphVideo,"['urea', 'skincare', 'barrierbounce', 'naturium', 'facialoils', 'serum', 'dryskin', 'flakyskin', 'skincareproducts']",True,audio_output/hydrationceo\2024-02-25_13-38-57_UTC.mp3,"If you are not a member of the Lizard Skin Mafia, this video is not for you. I am always looking for the next product that can tackle all of this flaky dry skin and not make me break out. Is that so much to ask? This is the new Naturium launch. It's called Barrier Bounce and she good. This is like an oil serum and yes, it is lilac. And this has urea in it. And if you have not used urea, I don't blame you. It's not in a ton of skincare products. I find urea is often used for KP or cracked heels. Like I see it in a lot of body products but not necessarily face products. And basically what it does is it breaks down the top layer of keratin on your skin. So it helps get rid of like that scaly flaky skin without being like too exfoliating. Because fun fact, urea is actually a humectant. So it helps to bulk up that skin barrier. I basically have not stopped using her since I picked her up a few weeks ago and honey knows flakies where. Someone file a missing persons report for my nose flakies. They are gone. Anyway, just thought I'd put you on. She's a good one.","If you are not a member of the Lizard Skin Mafia, this video is not for you. I am always looking for the next product that can tackle all of this flaky dry skin and not make me break out. Is that so much to ask? This is the new Naturium launch. It's called Barrier Bounce and she good. This is like an oil serum and yes, it is lilac. And this has urea in it. And if you have not used urea, I don't blame you. It's not in a ton of skincare products. I find urea is often used for KP or cracked heels. Like I see it in a lot of body products but not necessarily face products. And basically what it does is it breaks down the top layer of keratin on your skin. So it helps get rid of like that scaly flaky skin without being like too exfoliating. Because fun fact, urea is actually a humectant. So it helps to bulk up that skin barrier. I basically have not stopped using her since I picked her up a few weeks ago and honey knows flakies where. Someone file a missing persons report for my nose flakies. They are gone. Anyway, just thought I'd put you on. She's a good one."
