creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
whatsmitafound,C3leWtqgxK6,,Hate going grocery shopping? Did you know with a Walmart+ InHome membership you can have your groceries delivered straight to your garage or even kitchen! A trusted @Walmart associate can even place everything in the fridge for you. I also learned they can take your returns too! With no mark-ups this membership is a no brainer and such a time saver! Sign up for their FREE trial to check out the benefits of this amazing membership! #walmartpartner #liketkit https://liketk.it/4x62V #walmartplus @shop.ltk,445,posts\2024-02-20_21-25-40_UTC.jpg,posts\2024-02-20_21-25-40_UTC.mp4,2024-02-20 22:14:29,GraphVideo,"['walmartpartner', 'liketkit', 'walmartplus']",True
whatsmitafound,C3gy_zXA5QR,,To shop: comment “ LINK “ below and then check your DM. Loving this lace dress from @targetstyle. So simple and elegant! @target  #targetstyle #targetfinds #targetdeals #targetmom #momoutfit,2151,posts\2024-02-19_02-34-40_UTC.jpg,posts\2024-02-19_02-34-40_UTC.mp4,2024-02-19 02:34:40,GraphVideo,"['targetstyle', 'targetfinds', 'targetdeals', 'targetmom', 'momoutfit']",True
whatsmitafound,C3bf8_BAeNM,,To shop: comment “ LINK “ below and then check your DM for these @walmartfashion new arrivals! Let me know in the comments which is your favorite and which one I should keep? #Walmartpartner #walmartfashion @walmart @shop.ltk #liketkit #walmartfinds #walmartstyle #momstyle https://liketk.it/4wLjo,4264,posts\2024-02-17_01-11-33_UTC.jpg,posts\2024-02-17_01-11-33_UTC.mp4,2024-02-17 01:11:33,GraphVideo,"['walmartpartner', 'walmartfashion', 'liketkit', 'walmartfinds', 'walmartstyle', 'momstyle']",True
whatsmitafound,C3WZemsgyd7,,To shop this Amazon look: comment “LINK” below and then check your DM. I’m just loving this whole combo! So chic! Skirt is super stretchy and comes in more colors and the mesh bodysuit pairs perfectly with it. What do you think of this look?  #amazonfinds #amazonfashion #datenightoutfit #amazonfavorites,4712,posts\2024-02-15_01-39-55_UTC.jpg,posts\2024-02-15_01-39-55_UTC.mp4,2024-02-15 01:39:55,GraphVideo,"['amazonfinds', 'amazonfashion', 'datenightoutfit', 'amazonfavorites']",True
whatsmitafound,C3RODYXA8NM,,To shop: comment “ LINK “ below and then check your DM. Loving this combo from @targetstyle @target #targetstyle #targetfashion #targetlove #targetfinds #momstyle #denimskirt,14467,posts\2024-02-13_01-22-11_UTC.jpg,posts\2024-02-13_01-22-11_UTC.mp4,2024-02-13 01:22:11,GraphVideo,"['targetstyle', 'targetfashion', 'targetlove', 'targetfinds', 'momstyle', 'denimskirt']",True
whatsmitafound,C3OtZ1tgh1o,,To shop: comment “ LINK “ below and then check your DM. Elevate your home with these affordable @Walmart home finds!  Best part they are all under $12.  #Walmartpartner #walmarthome #walmartfinds #affordablehomedecor #liketkit @shop.ltk https://liketk.it/4wkN0,1370,posts\2024-02-12_01-58-26_UTC.jpg,posts\2024-02-12_01-58-26_UTC.mp4,2024-02-12 01:58:26,GraphVideo,"['walmartpartner', 'walmarthome', 'walmartfinds', 'affordablehomedecor', 'liketkit']",True
whatsmitafound,C3JL5bSAEK5,,Sharing my go to perfect pink nude lip combo that’s totally brown girl-friendly and won’t cost a fortune—all on @walmart Check out my stories for the lowdown and a step-by-step tutorial! #Walmartpartner @shop.ltk #walmartbeauty #affordablemakeup #walmartfinds https://liketk.it/4wbrL #liketkit,1860,posts\2024-02-09_21-02-56_UTC.jpg,posts\2024-02-09_21-02-56_UTC.jpg,2024-02-09 22:29:16,GraphSidecar,"['walmartpartner', 'walmartbeauty', 'affordablemakeup', 'walmartfinds', 'liketkit']",False
whatsmitafound,C3EcsZvg1eI,,To shop: comment “ LINK” for links to these new @walmartfashion looks! Let me know in the comments which is your favorite? @walmart #walmartpartner #liketkit #walmartfinds #walmartstyle #walmartfashion #momoutfits https://liketk.it/4w1cX,2060,posts\2024-02-08_02-19-58_UTC.jpg,posts\2024-02-08_02-19-58_UTC.mp4,2024-02-08 02:19:58,GraphVideo,"['walmartpartner', 'liketkit', 'walmartfinds', 'walmartstyle', 'walmartfashion', 'momoutfits']",True
whatsmitafound,C3B20p4ALD_,,"To shop: comment “ LINK” below and then check your DM for these Amazon dresses. NOTE: if you ask for the link, and it didn’t come through. You have to be following me in order to receive from the system. Follow and then comment link again and you should get it!  Which one is your favorite? #amazonstyle #amazonfinds #amazon",6064,posts\2024-02-07_02-10-54_UTC.jpg,posts\2024-02-07_02-10-54_UTC.mp4,2024-02-07 02:10:54,GraphVideo,"['amazonstyle', 'amazonfinds', 'amazon']",True
whatsmitafound,C2_VYftgBTI,,To shop: comment “ LINK “ and then check your DM. This dress is perfect or Valentine’s Day or just a date night. @target,3549,posts\2024-02-06_00-04-04_UTC.jpg,posts\2024-02-06_00-04-04_UTC.mp4,2024-02-06 02:40:24,GraphVideo,[],True
whatsmitafound,C28r1a2Ax_n,,To shop: comment “ LINK “ below and then check your DM. It’s been a while since I did a dressing room try on!  @target has so many cute new arrivals. I’m wearing medium in mostly all of it in size 8 in the pants for reference #targetstyle #targetfinds #targetmom #targetdeals #momstyle #wildfabletarget #wildfable,3389,posts\2024-02-05_02-01-02_UTC.jpg,posts\2024-02-05_02-01-02_UTC.mp4,2024-02-05 02:01:02,GraphVideo,"['targetstyle', 'targetfinds', 'targetmom', 'targetdeals', 'momstyle', 'wildfabletarget', 'wildfable']",True
whatsmitafound,C23jIVGAH78,,Elevate basic pieces! To shop: comment “ LINK “ below then check your DM for this @oldnavy look! Cute and comfy! #oldnavy #oldnavystyle #momstyle #elevatedcasual,2004,posts\2024-02-03_02-06-16_UTC.jpg,posts\2024-02-03_02-06-16_UTC.mp4,2024-02-03 02:06:16,GraphVideo,"['oldnavy', 'oldnavystyle', 'momstyle', 'elevatedcasual']",True
whatsmitafound,C20-ZzXgIGY,,To shop: like + comment “ LINK “ below for these @walmart lounge sets! It’s giving designer vibes but so affordable! I’m wearing size M in top and bottom for reference @walmartfashion  #walmartpartner #iywyk #liketkit https://liketk.it/4vvsx,1629,posts\2024-02-02_02-06-57_UTC.jpg,posts\2024-02-02_02-06-57_UTC.mp4,2024-02-02 02:06:57,GraphVideo,"['walmartpartner', 'iywyk', 'liketkit']",True
whatsmitafound,C2vwwhXASd8,,To shop: comment “ LINK” below and then check your DM for this Amazon dress!! Perfect for Valentine’s Day or just date night. I’m wearing M for reference. #amazonfinds #amazonstyle #amazondress #valentinesdayoutfit #datenightoutfit,2323,posts\2024-01-31_01-33-29_UTC.jpg,posts\2024-01-31_01-33-29_UTC.mp4,2024-01-31 01:33:29,GraphVideo,"['amazonfinds', 'amazonstyle', 'amazondress', 'valentinesdayoutfit', 'datenightoutfit']",True
whatsmitafound,C2tOMCSgi5d,,Which is your favorite?? To Shop: comment “ LINK” below and then check your DM for links. @walmartfashion new spring arrivals! #walmartfashion #walmartdeals #scoopstyle @walmart #blazeroutfits #momstyle #walmartstyle,5736,posts\2024-01-30_01-51-12_UTC.jpg,posts\2024-01-30_01-51-12_UTC.mp4,2024-01-30 01:51:12,GraphVideo,"['walmartfashion', 'walmartdeals', 'scoopstyle', 'blazeroutfits', 'momstyle', 'walmartstyle']",True
whatsmitafound,C2qqGSpg8m1,,To shop: comment “ LINK” below and then check your DM for these Walmart denim looks! Loving the cargo jeans and the cropped denim jacket that you can pair with so many things.  @walmart #walmartpartner #walmartfashion #walmartstyle #denimstyle #denimoutfit #momstyle @shop.ltk #liketkit https://liketk.it/4vhDK,2823,posts\2024-01-29_01-59-55_UTC.jpg,posts\2024-01-29_01-59-55_UTC.mp4,2024-01-29 01:59:55,GraphVideo,"['walmartpartner', 'walmartfashion', 'walmartstyle', 'denimstyle', 'denimoutfit', 'momstyle', 'liketkit']",True
