,creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video,audio_url,audio_transcript,en_audio_transcript
0,hydrationceo,C3oDSMjrM2m,,"deets ✨:
@lorealusa lumi glotion in ‘fair’
@sephora collection best skin ever glow in ‘22’
@maybelline fit me loose powder
@milanicosmetics cheek kiss bronzer in ‘spilling tea’
@milanicosmetics cheek kiss bluah in ‘nude kiss’
@colourpopcosmetics shadow stix in ‘cocktail party’
@milanicosmetics stay put tank eyeliner in ‘black’
@lorealusa telescopic lift mascara
@nyxcosmetics lipliner in ‘nude truffle’
@neutrogena moisturesmooth in ‘almond nude’",911,posts\2024-02-21_22-12-09_UTC.jpg,posts\2024-02-21_22-12-09_UTC.mp4,2024-02-21 22:12:09,GraphVideo,[],True,audio_output/2024-02-21_22-12-09_UTC.mp3,"touch me baby touch me, touch me, touch me, touch me touch me baby take it hip & hot touch me baby touch me, touch me, touch me, touch me touch me baby take it hip & hot","touch me baby touch me, touch me, touch me, touch me touch me baby take it hip & hot touch me baby touch me, touch me, touch me, touch me touch me baby take it hip & hot"
1,hydrationceo,C3neWR4rux9,,"ANOTHER blush Rachel, really????? 😫 

#milkjellyblush #milkblush #milkmakeupblush #coolingwaterjellytint #jellytint #blushstain #honestreviews #makeuptok #blush #viralmakeup",3080,posts\2024-02-21_16-48-17_UTC.jpg,posts\2024-02-21_16-48-17_UTC.mp4,2024-02-21 16:48:17,GraphVideo,"['milkjellyblush', 'milkblush', 'milkmakeupblush', 'coolingwaterjellytint', 'jellytint', 'blushstain', 'honestreviews', 'makeuptok', 'blush', 'viralmakeup']",True,audio_output/2024-02-21_16-48-17_UTC.mp3,"I thoroughly felt like, in my soul, I was not gonna like this. So this is the Milk Cooling Water Jelly Tint, and yes, it does have a very like edible texture. I saw like a lot of try-ons, but I didn't see anyone do any wear tests, and it's supposed to be a stain. But I gotta tell you, I have worn this to the beach. I have worn this to the gym. She does not budge. Now do not, I repeat, do not just swipe this on. It will just stain a little line into your skin. Just take a little brush, dab a smidge on, and then blend really fast, because it does dry down. This is just one of those things where I thought this was gonna be really gimmicky, but I ended up like kind of wearing it every day. This is shade Burst, and yes, it does look gorgeous on the lips too. Didn't wanna love it. I love it.","I thoroughly felt like, in my soul, I was not gonna like this. So this is the Milk Cooling Water Jelly Tint, and yes, it does have a very like edible texture. I saw like a lot of try-ons, but I didn't see anyone do any wear tests, and it's supposed to be a stain. But I gotta tell you, I have worn this to the beach. I have worn this to the gym. She does not budge. Now do not, I repeat, do not just swipe this on. It will just stain a little line into your skin. Just take a little brush, dab a smidge on, and then blend really fast, because it does dry down. This is just one of those things where I thought this was gonna be really gimmicky, but I ended up like kind of wearing it every day. This is shade Burst, and yes, it does look gorgeous on the lips too. Didn't wanna love it. I love it."
2,hydrationceo,C3l25NjLsWF,,"FREE 99 coffee and sunscreen from @neutrogena ??? 🥹  All my dreams have come true! Be sure to stop by on Feb. 22 from 8am – 3pm in Union Square in NYC. #NeutrogenaPartner #glowwithneutrogena

#popup #nyc #skincare #sunscreen #freestuff #nycpopup",707,posts\2024-02-21_01-44-42_UTC.jpg,posts\2024-02-21_01-44-42_UTC.mp4,2024-02-21 01:44:42,GraphVideo,"['neutrogenapartner', 'glowwithneutrogena', 'popup', 'nyc', 'skincare', 'sunscreen', 'freestuff', 'nycpopup']",True,audio_output/2024-02-21_01-44-42_UTC.mp3,"Did somebody say free sunscreen? Because I am all over it. This is the Neutrogena Sun Coffee Pop-Up and it's coming to Union Square on the 22nd. So yeah, free coffee and sunscreen, my literal two favorite things. For my chemical girlie, they have Neutrogena Invisible Daily Defense Face Serum, SPF 60. This is lightweight and hydrating with no white cast. They also had Neutrogena Ultra Sheer Dry Touch. This is matte and water resistant. Of course, I had to do their little photo booth, which had a very important reminder. So if you're in New York, you gotta do this.","Did somebody say free sunscreen? Because I am all over it. This is the Neutrogena Sun Coffee Pop-Up and it's coming to Union Square on the 22nd. So yeah, free coffee and sunscreen, my literal two favorite things. For my chemical girlie, they have Neutrogena Invisible Daily Defense Face Serum, SPF 60. This is lightweight and hydrating with no white cast. They also had Neutrogena Ultra Sheer Dry Touch. This is matte and water resistant. Of course, I had to do their little photo booth, which had a very important reminder. So if you're in New York, you gotta do this."
3,hydrationceo,C3lZS1YLLfB,,"As much as I love sephora, I will ALWAYS be a drugstore skincare girly 🫶 

#drugstoreskincare #affordableskincare #skincare #skincareproducts #peachslices #neutrogena #cocokind",1966,posts\2024-02-20_21-25-40_UTC.jpg,posts\2024-02-20_21-25-40_UTC.mp4,2024-02-20 21:25:40,GraphVideo,"['drugstoreskincare', 'affordableskincare', 'skincare', 'skincareproducts', 'peachslices', 'neutrogena', 'cocokind']",True,audio_output/2024-02-20_21-25-40_UTC.mp3,"This ain't Texas. Ain't no hold'em. So lay your cards down, down, down, down. So park your Lexus and throw your keys up. Stick around, round, round, round, round.","This ain't Texas. Ain't no hold'em. So lay your cards down, down, down, down. So park your Lexus and throw your keys up. Stick around, round, round, round, round."
4,hydrationceo,C3k1DBYL_VJ,,"My ride or die body oils 🫡 

#caudaliebodyoil #traderjoes #traderjoesbodyoil #oseabodyoil #aveenobodyoil #bodyoil #bodyoils #bodyproducts #caudalie #osea #aveeno #drugstorebodyoil",2350,posts\2024-02-20_16-09-18_UTC.jpg,posts\2024-02-20_16-09-18_UTC.mp4,2024-02-20 16:09:18,GraphVideo,"['caudaliebodyoil', 'traderjoes', 'traderjoesbodyoil', 'oseabodyoil', 'aveenobodyoil', 'bodyoil', 'bodyoils', 'bodyproducts', 'caudalie', 'osea', 'aveeno', 'drugstorebodyoil']",True,audio_output/2024-02-20_16-09-18_UTC.mp3,"I have just recently in the past few months become a body oil girl and I will never look back. Totally smooth and glow, very bougie, has a little sprayer, love a sprayer. The scent is giving grandma, but you can't really smell it once it's on your body. But what I love about this is it dries down. So if you were gonna put like leggings on afterwards and you want your legs to be sticky, this dries down, but is still moisturizing. This one's for my girls with sensory issues. Also glass bottle, also giving bougie vibes. Trader Joe's Brazil nut body oil. My friend Sarah put me onto this. This is so fucking good. This smells just like the Sol de Janeiro Boom Boom Cream body oil. It smells so good. Doesn't dry down like the Caudalie one does, but it's still hydrating and dry enough that you can put your clothes on without getting like oil everywhere. Gorgeous, I'd be reaching for her all the time. Osea Andaria body oil, also a bougie pick. She looks gor-gina on your counter, but this is also like the best smelling body oil on earth. It is like walking through a grove of oranges. She does not dry down. She is here to stay. So if you like that super glossed up look, this is your girl. Last one, underrated, the Aveeno body oil mist. Again, this is a spray bottle. We love a spray. And it is so good for sensitive skin or dry patches. I am a psoriasis girly. I'll get psoriasis little patches everywhere. This is so good for that. I've also heard from my eczema baddies that this is bomb for that too. So keep that in mind. Here you go.","I have just recently in the past few months become a body oil girl and I will never look back. Totally smooth and glow, very bougie, has a little sprayer, love a sprayer. The scent is giving grandma, but you can't really smell it once it's on your body. But what I love about this is it dries down. So if you were gonna put like leggings on afterwards and you want your legs to be sticky, this dries down, but is still moisturizing. This one's for my girls with sensory issues. Also glass bottle, also giving bougie vibes. Trader Joe's Brazil nut body oil. My friend Sarah put me onto this. This is so fucking good. This smells just like the Sol de Janeiro Boom Boom Cream body oil. It smells so good. Doesn't dry down like the Caudalie one does, but it's still hydrating and dry enough that you can put your clothes on without getting like oil everywhere. Gorgeous, I'd be reaching for her all the time. Osea Andaria body oil, also a bougie pick. She looks gor-gina on your counter, but this is also like the best smelling body oil on earth. It is like walking through a grove of oranges. She does not dry down. She is here to stay. So if you like that super glossed up look, this is your girl. Last one, underrated, the Aveeno body oil mist. Again, this is a spray bottle. We love a spray. And it is so good for sensitive skin or dry patches. I am a psoriasis girly. I'll get psoriasis little patches everywhere. This is so good for that. I've also heard from my eczema baddies that this is bomb for that too. So keep that in mind. Here you go."
5,hydrationceo,C3jOlE7L2LO,,"2024 really is the year of affordable, barrier-supporting skincare 👏 @byoma #byomapartner 

#cleanser #toner #skincare #skintok #byomaskincareproducts #skincareproducts #skincarereviews",1475,posts\2024-02-20_01-14-05_UTC.jpg,posts\2024-02-20_01-14-05_UTC.mp4,2024-02-20 01:14:05,GraphVideo,"['byomapartner', 'cleanser', 'toner', 'skincare', 'skintok', 'byomaskincareproducts', 'skincareproducts', 'skincarereviews']",True,audio_output/2024-02-20_01-14-05_UTC.mp3,"Guess who got her hands on the two new Bioma products? Actually, I got these like a month ago, so I could try them. But we've got two new milky products for dry sensitive skin. First, we have the Milky Moisture Cleanser. And you can see it literally looks like a moisturizer. If you're a dry girl, you know that sometimes when you wash your face, you dry it and then it ends up being dry and crispy, like crispier than it was before. This is not like that. Like my skin feels really good. But this I feel like is the star. This is their Milky Toner. This might be my new favorite toner. Just look at the texture. It's almost like a serum toner hybrid. It's super, super hydrating. Has a kind of slippy texture that I really like. Like I want this in my latte. I wanna drink this. Oh, and it's under $16. You can just see like the radiance on my skin. This is not natural radiance. I am naturally very crispy. So yeah, these are a yes. Both of these are a yes.","Guess who got her hands on the two new Bioma products? Actually, I got these like a month ago, so I could try them. But we've got two new milky products for dry sensitive skin. First, we have the Milky Moisture Cleanser. And you can see it literally looks like a moisturizer. If you're a dry girl, you know that sometimes when you wash your face, you dry it and then it ends up being dry and crispy, like crispier than it was before. This is not like that. Like my skin feels really good. But this I feel like is the star. This is their Milky Toner. This might be my new favorite toner. Just look at the texture. It's almost like a serum toner hybrid. It's super, super hydrating. Has a kind of slippy texture that I really like. Like I want this in my latte. I wanna drink this. Oh, and it's under $16. You can just see like the radiance on my skin. This is not natural radiance. I am naturally very crispy. So yeah, these are a yes. Both of these are a yes."
6,hydrationceo,C3isyKTObcD,,"Who else was feral for victoria’s secret glosses in middle school? 🤚 

#lipgloss #victoriassecret #y2k #throwbackmakeup #weirdmakeup #lipglossaddict #lipglosslover",1048,posts\2024-02-19_20-18-40_UTC.jpg,posts\2024-02-19_20-18-40_UTC.mp4,2024-02-19 20:18:40,GraphVideo,"['lipgloss', 'victoriassecret', 'y2k', 'throwbackmakeup', 'weirdmakeup', 'lipglossaddict', 'lipglosslover']",True,audio_output/2024-02-19_20-18-40_UTC.mp3,"I remember coconut craze from my middle school years and even the applicator looks the same. It smells so good. It smells just like coconut oil and it's got a super slippy texture. Like definitely not as thick as it used to be. Wait, I kind of love this. Look at the shine. Okay, chai latte next. And yeah, they do taste good too. Girl, road beauty.","I remember coconut craze from my middle school years and even the applicator looks the same. It smells so good. It smells just like coconut oil and it's got a super slippy texture. Like definitely not as thick as it used to be. Wait, I kind of love this. Look at the shine. Okay, chai latte next. And yeah, they do taste good too. Girl, road beauty."
7,hydrationceo,C3iDAQarB0U,,"You DO NOT have to spend all your hard-earned money to have gorgeous skin ❌ 

#skincare #drugstoreskincare #drugstorebeautyreview #ultaskintok #ultaskincare #affordableskincare #skintok",51259,posts\2024-02-19_14-13-08_UTC.jpg,posts\2024-02-19_14-13-08_UTC.mp4,2024-02-19 14:13:08,GraphVideo,"['skincare', 'drugstoreskincare', 'drugstorebeautyreview', 'ultaskintok', 'ultaskincare', 'affordableskincare', 'skintok']",True,audio_output/2024-02-19_14-13-08_UTC.mp3,"This ain't Texas. Ain't no holdin'. So lay your cards down, down, down, down. So park your Lexus and throw your keys up. Stick around, round, round, round, round.","This ain't Texas. Ain't no holdin'. So lay your cards down, down, down, down. So park your Lexus and throw your keys up. Stick around, round, round, round, round."
8,hydrationceo,C3gVsImreIR,,"⭐️DEETS⭐️ To apply, post a video with #2024NeutrogenaNetwork explaining why you love the brand and should be part of the 2024 network by 2/29/24!

Don’t forget to follow and tag @neutrogena. Must be 18+, US resident and have a following of 5K+ to apply. See the full application terms in the link in bio. #NeutrogenaPartner #Neutrogena 

#actress #goals #2024goals #skincare",1002,posts\2024-02-18_22-17-50_UTC.jpg,posts\2024-02-18_22-17-50_UTC.mp4,2024-02-18 22:17:50,GraphVideo,"['2024neutrogenanetwork', 'neutrogenapartner', 'neutrogena', 'actress', 'goals', '2024goals', 'skincare']",True,audio_output/2024-02-18_22-17-50_UTC.mp3,"Five dreams I accomplished in 2023. Me, Hydro Boost Stan for 15 years in the Nutritive Network. And because of that, I got to go to Coachella for the first time ever. Like I literally spent a month of my life bedazzling this cowboy hat. Of course, I blogged it all, uploaded that video and that video got 10 million views. Oh my God, I got to be in a commercial. I got to represent Team Hydro Boost, my number one, my ride or die. So cool, definitely like my 10-year-old self would be on the floor. And finally, I got to go to a real skincare lab. Like I got to see how the chicken is made, the sausage is made. And none of that would have happened if I wasn't in the Nutritive Network last year. And this year, they're opening up the network so that anyone can apply. All you have to do is make a TikTok with the hashtag 2024 Nutritive Network and explain why you love the brand. I'll put all the details in my caption. But yeah, if you wanna join me this year, maybe we can be besties. Definitely apply.","Five dreams I accomplished in 2023. Me, Hydro Boost Stan for 15 years in the Nutritive Network. And because of that, I got to go to Coachella for the first time ever. Like I literally spent a month of my life bedazzling this cowboy hat. Of course, I blogged it all, uploaded that video and that video got 10 million views. Oh my God, I got to be in a commercial. I got to represent Team Hydro Boost, my number one, my ride or die. So cool, definitely like my 10-year-old self would be on the floor. And finally, I got to go to a real skincare lab. Like I got to see how the chicken is made, the sausage is made. And none of that would have happened if I wasn't in the Nutritive Network last year. And this year, they're opening up the network so that anyone can apply. All you have to do is make a TikTok with the hashtag 2024 Nutritive Network and explain why you love the brand. I'll put all the details in my caption. But yeah, if you wanna join me this year, maybe we can be besties. Definitely apply."
9,hydrationceo,C3fbBvNr2hz,,"Expensive skincare products you DO NOT NEED (I’m looking at you 🫵) 

#deinfluencing #skincare #skincareproducts #skincarereview #redlightmask #tatcha #dbronzi",4941,posts\2024-02-18_13-45-15_UTC.jpg,posts\2024-02-18_13-45-15_UTC.mp4,2024-02-18 13:45:15,GraphVideo,"['deinfluencing', 'skincare', 'skincareproducts', 'skincarereview', 'redlightmask', 'tatcha', 'dbronzi']",True,audio_output/2024-02-18_13-45-15_UTC.mp3,"Here are some expensive ass skincare products you do not need. You know when dermatologists and estheticians talk about red light and how it's so good for acne and fine lines and collagen production, they are not talking about this. They are talking about red light therapy in an esthetician or a dermatologist's office where the red light is so much stronger than anything you're gonna be able to get from one of these masks. Also, like $450 is nuts. This is not gonna make a big difference on your skin, I promise. If you're 13, don't be mad at me because you know that this is just a bronzer, right? You can literally just take a liquid bronzer and mix it with your moisturizer and it is gonna do the same thing and then you have control over the shades. I love a skincare makeup hybrid, but this is neither. The Chokehold Tatcha Hat on 2016, me, absolutely bananas. Unfortunately, none of their products work for my skin at all. They all make me break out. They are so fragranced. This one in particular, this is Same Ives Apricot Scrub, but $40. If you have breakouts and irritation in a bottle, you do not need this.","Here are some expensive ass skincare products you do not need. You know when dermatologists and estheticians talk about red light and how it's so good for acne and fine lines and collagen production, they are not talking about this. They are talking about red light therapy in an esthetician or a dermatologist's office where the red light is so much stronger than anything you're gonna be able to get from one of these masks. Also, like $450 is nuts. This is not gonna make a big difference on your skin, I promise. If you're 13, don't be mad at me because you know that this is just a bronzer, right? You can literally just take a liquid bronzer and mix it with your moisturizer and it is gonna do the same thing and then you have control over the shades. I love a skincare makeup hybrid, but this is neither. The Chokehold Tatcha Hat on 2016, me, absolutely bananas. Unfortunately, none of their products work for my skin at all. They all make me break out. They are so fragranced. This one in particular, this is Same Ives Apricot Scrub, but $40. If you have breakouts and irritation in a bottle, you do not need this."
