creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
hydrationceo,C3oDSMjrM2m,,"deets ✨:
@lorealusa lumi glotion in ‘fair’
@sephora collection best skin ever glow in ‘22’
@maybelline fit me loose powder
@milanicosmetics cheek kiss bronzer in ‘spilling tea’
@milanicosmetics cheek kiss bluah in ‘nude kiss’
@colourpopcosmetics shadow stix in ‘cocktail party’
@milanicosmetics stay put tank eyeliner in ‘black’
@lorealusa telescopic lift mascara
@nyxcosmetics lipliner in ‘nude truffle’
@neutrogena moisturesmooth in ‘almond nude’",911,posts\2024-02-21_22-12-09_UTC.jpg,posts\2024-02-21_22-12-09_UTC.mp4,2024-02-21 22:12:09,GraphVideo,[],True
hydrationceo,C3neWR4rux9,,"ANOTHER blush Rachel, really????? 😫 

#milkjellyblush #milkblush #milkmakeupblush #coolingwaterjellytint #jellytint #blushstain #honestreviews #makeuptok #blush #viralmakeup",3080,posts\2024-02-21_16-48-17_UTC.jpg,posts\2024-02-21_16-48-17_UTC.mp4,2024-02-21 16:48:17,GraphVideo,"['milkjellyblush', 'milkblush', 'milkmakeupblush', 'coolingwaterjellytint', 'jellytint', 'blushstain', 'honestreviews', 'makeuptok', 'blush', 'viralmakeup']",True
hydrationceo,C3l25NjLsWF,,"FREE 99 coffee and sunscreen from @neutrogena ??? 🥹  All my dreams have come true! Be sure to stop by on Feb. 22 from 8am – 3pm in Union Square in NYC. #NeutrogenaPartner #glowwithneutrogena

#popup #nyc #skincare #sunscreen #freestuff #nycpopup",707,posts\2024-02-21_01-44-42_UTC.jpg,posts\2024-02-21_01-44-42_UTC.mp4,2024-02-21 01:44:42,GraphVideo,"['neutrogenapartner', 'glowwithneutrogena', 'popup', 'nyc', 'skincare', 'sunscreen', 'freestuff', 'nycpopup']",True
hydrationceo,C3lZS1YLLfB,,"As much as I love sephora, I will ALWAYS be a drugstore skincare girly 🫶 

#drugstoreskincare #affordableskincare #skincare #skincareproducts #peachslices #neutrogena #cocokind",1966,posts\2024-02-20_21-25-40_UTC.jpg,posts\2024-02-20_21-25-40_UTC.mp4,2024-02-20 21:25:40,GraphVideo,"['drugstoreskincare', 'affordableskincare', 'skincare', 'skincareproducts', 'peachslices', 'neutrogena', 'cocokind']",True
hydrationceo,C3k1DBYL_VJ,,"My ride or die body oils 🫡 

#caudaliebodyoil #traderjoes #traderjoesbodyoil #oseabodyoil #aveenobodyoil #bodyoil #bodyoils #bodyproducts #caudalie #osea #aveeno #drugstorebodyoil",2350,posts\2024-02-20_16-09-18_UTC.jpg,posts\2024-02-20_16-09-18_UTC.mp4,2024-02-20 16:09:18,GraphVideo,"['caudaliebodyoil', 'traderjoes', 'traderjoesbodyoil', 'oseabodyoil', 'aveenobodyoil', 'bodyoil', 'bodyoils', 'bodyproducts', 'caudalie', 'osea', 'aveeno', 'drugstorebodyoil']",True
hydrationceo,C3jOlE7L2LO,,"2024 really is the year of affordable, barrier-supporting skincare 👏 @byoma #byomapartner 

#cleanser #toner #skincare #skintok #byomaskincareproducts #skincareproducts #skincarereviews",1475,posts\2024-02-20_01-14-05_UTC.jpg,posts\2024-02-20_01-14-05_UTC.mp4,2024-02-20 01:14:05,GraphVideo,"['byomapartner', 'cleanser', 'toner', 'skincare', 'skintok', 'byomaskincareproducts', 'skincareproducts', 'skincarereviews']",True
hydrationceo,C3isyKTObcD,,"Who else was feral for victoria’s secret glosses in middle school? 🤚 

#lipgloss #victoriassecret #y2k #throwbackmakeup #weirdmakeup #lipglossaddict #lipglosslover",1048,posts\2024-02-19_20-18-40_UTC.jpg,posts\2024-02-19_20-18-40_UTC.mp4,2024-02-19 20:18:40,GraphVideo,"['lipgloss', 'victoriassecret', 'y2k', 'throwbackmakeup', 'weirdmakeup', 'lipglossaddict', 'lipglosslover']",True
hydrationceo,C3iDAQarB0U,,"You DO NOT have to spend all your hard-earned money to have gorgeous skin ❌ 

#skincare #drugstoreskincare #drugstorebeautyreview #ultaskintok #ultaskincare #affordableskincare #skintok",51259,posts\2024-02-19_14-13-08_UTC.jpg,posts\2024-02-19_14-13-08_UTC.mp4,2024-02-19 14:13:08,GraphVideo,"['skincare', 'drugstoreskincare', 'drugstorebeautyreview', 'ultaskintok', 'ultaskincare', 'affordableskincare', 'skintok']",True
hydrationceo,C3gVsImreIR,,"⭐️DEETS⭐️ To apply, post a video with #2024NeutrogenaNetwork explaining why you love the brand and should be part of the 2024 network by 2/29/24!

Don’t forget to follow and tag @neutrogena. Must be 18+, US resident and have a following of 5K+ to apply. See the full application terms in the link in bio. #NeutrogenaPartner #Neutrogena 

#actress #goals #2024goals #skincare",1002,posts\2024-02-18_22-17-50_UTC.jpg,posts\2024-02-18_22-17-50_UTC.mp4,2024-02-18 22:17:50,GraphVideo,"['2024neutrogenanetwork', 'neutrogenapartner', 'neutrogena', 'actress', 'goals', '2024goals', 'skincare']",True
hydrationceo,C3fbBvNr2hz,,"Expensive skincare products you DO NOT NEED (I’m looking at you 🫵) 

#deinfluencing #skincare #skincareproducts #skincarereview #redlightmask #tatcha #dbronzi",4941,posts\2024-02-18_13-45-15_UTC.jpg,posts\2024-02-18_13-45-15_UTC.mp4,2024-02-18 13:45:15,GraphVideo,"['deinfluencing', 'skincare', 'skincareproducts', 'skincarereview', 'redlightmask', 'tatcha', 'dbronzi']",True
hydrationceo,C3dFihLL0QE,,"$40 for a tinted lip balm is wild to me, I’m sticking with the $12 doop 💅 

#diorglowbalm #diorlipbalm #lipbalm #doop #quo #luxurydoop #dupe #dupes",9003,posts\2024-02-17_15-58-58_UTC.jpg,posts\2024-02-17_15-58-58_UTC.mp4,2024-02-17 15:58:58,GraphVideo,"['diorglowbalm', 'diorlipbalm', 'lipbalm', 'doop', 'quo', 'luxurydoop', 'dupe', 'dupes']",True
hydrationceo,C3bL9YbrW-i,,"My ride or die shower products @loccitane #loccitanepartner 

#bodycare #everythingshower #skincare #bodyproducts #loccitane #loccitanealmondshoweroil #dove #nair #firstaidbeauty",11712,posts\2024-02-16_22-17-15_UTC.jpg,posts\2024-02-16_22-17-15_UTC.mp4,2024-02-16 22:17:15,GraphVideo,"['loccitanepartner', 'bodycare', 'everythingshower', 'skincare', 'bodyproducts', 'loccitane', 'loccitanealmondshoweroil', 'dove', 'nair', 'firstaidbeauty']",True
