creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
kirtitewani,C7jZ-6HMb7u,,"Just comment “HAIR” for the link to the products. 

Do this once or twice a week. Be gentle with the pressure. For every one ounce of castor oil apply 5 drops of rosemary oil. You can also combine this with any other carrier oil like coconut oil.",1006,posts/kirtitewani\2024-05-29_13-05-11_UTC.jpg,posts/kirtitewani\2024-05-29_13-05-11_UTC.mp4,2024-05-29 13:05:11,GraphVideo,[],True
kirtitewani,C7g5rcZsQQV,,"Botox replacement with a home made mask
2 tsp chickpea flour
1 tsp yogurt
1 egg white
pinch of turmeric 

Recipe by @nazbuz777 
Amazing mask!",1503,posts/kirtitewani\2024-05-28_13-38-46_UTC.jpg,posts/kirtitewani\2024-05-28_13-38-46_UTC.mp4,2024-05-28 13:38:46,GraphVideo,[],True
kirtitewani,C7br5yoMuGH,,Try to stay away or at least minimize the use of products that contain parabens and phthalates.,1258,posts/kirtitewani\2024-05-26_13-01-36_UTC.jpg,posts/kirtitewani\2024-05-26_13-01-36_UTC.mp4,2024-05-26 13:01:36,GraphVideo,[],True
kirtitewani,C7ZICUhsUT5,,"Just comment “TAPE” for the link of the tape I am using. 
Do you have tape?
Always apply it on your skin after your skincare! Wait for at-least 10 minsafter your skincare before you apply it.",38165,posts/kirtitewani\2024-05-25_13-09-24_UTC.jpg,posts/kirtitewani\2024-05-25_13-09-24_UTC.mp4,2024-05-25 13:09:24,GraphVideo,[],True
kirtitewani,C7WizGhMG1u,,"Understand your dark circles rather than constantly spending money on eye moisturizers. Why do you have dark under eyes?

I am using castor oil from @gurunanda.official. 🔗 on the main page in the intro",1048,posts/kirtitewani\2024-05-24_13-05-37_UTC.jpg,posts/kirtitewani\2024-05-24_13-05-37_UTC.mp4,2024-05-24 13:05:37,GraphVideo,[],True
kirtitewani,C7T9aZus0gO,,Coconut water is amazing for Acid reflux! Do you want to know what else could you add to your diet for acid reflux.,794,posts/kirtitewani\2024-05-23_13-00-15_UTC.jpg,posts/kirtitewani\2024-05-23_13-00-15_UTC.mp4,2024-05-23 13:00:15,GraphVideo,[],True
kirtitewani,C7RcoiisJai,,Who loves DIY?,1157,posts/kirtitewani\2024-05-22_13-35-24_UTC.jpg,posts/kirtitewani\2024-05-22_13-35-24_UTC.mp4,2024-05-22 13:35:24,GraphVideo,[],True
kirtitewani,C7NkPMxsb92,,Focus on grounding for at least 10 mins a day. Do you practice grounding or earthing?,463,posts/kirtitewani\2024-05-21_01-24-56_UTC.jpg,posts/kirtitewani\2024-05-21_01-24-56_UTC.mp4,2024-05-21 01:24:56,GraphVideo,[],True
kirtitewani,C7HHbibrK9c,,Massages are a great way to prevent and even reverse some signs of aging!,669,posts/kirtitewani\2024-05-18_13-18-30_UTC.jpg,posts/kirtitewani\2024-05-18_13-18-30_UTC.mp4,2024-05-18 13:18:30,GraphVideo,[],True
kirtitewani,C6_YkIxu_J7,,Facial massages are amazing! Just always make sure you have enough oil or moisturizer in your face so you don’t pull the skin!,678,posts/kirtitewani\2024-05-15_13-13-56_UTC.jpg,posts/kirtitewani\2024-05-15_13-13-56_UTC.mp4,2024-05-15 13:13:56,GraphVideo,[],True
kirtitewani,C69HCvtMeh2,,"The gel crème is a lightweight moisturizer with a floral scent that refines skin texture and pores. It also contains lotus, jasmine, and hibiscus flower ketoacids, which can help improve skin texture and target clogged pores. #ranavatpartner 

Available at @sephora",548,posts/kirtitewani\2024-05-14_16-02-05_UTC.jpg,posts/kirtitewani\2024-05-14_16-02-05_UTC.mp4,2024-05-14 16:02:05,GraphVideo,['ranavatpartner'],True
kirtitewani,C63uGB6LMua,,We all want thick hair! Here are a few things you can do to get thick hair 💜,1349,posts/kirtitewani\2024-05-12_13-48-00_UTC.jpg,posts/kirtitewani\2024-05-12_13-48-00_UTC.mp4,2024-05-12 13:48:00,GraphVideo,[],True
kirtitewani,C61Dv-VL0WS,,A skill that I acquired as a child and is extremely helpful in this life! Do you thread?,750,posts/kirtitewani\2024-05-11_12-59-07_UTC.jpg,posts/kirtitewani\2024-05-11_12-59-07_UTC.mp4,2024-05-11 12:59:07,GraphVideo,[],True
kirtitewani,C6yhrYDL1hW,,When you say I am loosing hair is it from the roots or it’s breaking from the strands?,560,posts/kirtitewani\2024-05-10_13-23-04_UTC.jpg,posts/kirtitewani\2024-05-10_13-23-04_UTC.mp4,2024-05-10 13:23:04,GraphVideo,[],True
kirtitewani,C6v50KGLrNA,,Here is a detailed video as promised!,564,posts/kirtitewani\2024-05-09_12-56-26_UTC.jpg,posts/kirtitewani\2024-05-09_12-56-26_UTC.mp4,2024-05-09 12:56:26,GraphVideo,[],True
kirtitewani,C6q0CoUs3xs,,"Grey hair is a mess! Once it’s starts, it takes a lot of work to even maintain it. It’s best to prevent it.",2448,posts/kirtitewani\2024-05-07_13-29-55_UTC.jpg,posts/kirtitewani\2024-05-07_13-29-55_UTC.mp4,2024-05-07 13:29:55,GraphVideo,[],True
kirtitewani,C6oNby7r6jY,,This has been a game changer. I never have to wash my hair twice and strip the natural oils completely. It’s a little bit more work but totally worth it!,603,posts/kirtitewani\2024-05-06_13-14-34_UTC.jpg,posts/kirtitewani\2024-05-06_13-14-34_UTC.mp4,2024-05-06 13:14:34,GraphVideo,[],True
kirtitewani,C6loX-ALwGF,,Who knew bananas can have anti aging properties. Should I do a detailed video on this?,534,posts/kirtitewani\2024-05-05_13-11-36_UTC.jpg,posts/kirtitewani\2024-05-05_13-11-36_UTC.mp4,2024-05-05 13:11:36,GraphVideo,[],True
kirtitewani,C6jEbETLuFe,,"I tried this hack and my hair was so soft after washing, because I wanted to oil my hair but I also had to wash it in 15 mins.",409,posts/kirtitewani\2024-05-04_13-19-00_UTC.jpg,posts/kirtitewani\2024-05-04_13-19-00_UTC.mp4,2024-05-04 13:19:00,GraphVideo,[],True
kirtitewani,C6d5OVDr4t2,,"According to Ayurveda it could be extremely beneficial. Want to learn more about it? Simply comment MORE

Use a neem oil mixed with a carrier oil and Also, don’t forget to do a patch test! I use neem oil from @banyanbotanicals",1271,posts/kirtitewani\2024-05-02_13-05-21_UTC.jpg,posts/kirtitewani\2024-05-02_13-05-21_UTC.mp4,2024-05-02 13:05:21,GraphVideo,[],True
kirtitewani,C6bU7ikLLuE,,A fast absorbing facial serum made with time tested Ayurvedic ingredients. The best part it’s also budget friendly!! #ad,1401,posts/kirtitewani\2024-05-01_13-14-22_UTC.jpg,posts/kirtitewani\2024-05-01_13-14-22_UTC.mp4,2024-05-01 13:14:22,GraphVideo,['ad'],True
kirtitewani,C6Xj_hcsXeU,,Things to keep in mind if your circles are getting darker. Make sure you get to the root cause. And this will also be helpful for someone who has genetic dark circles.,434,posts/kirtitewani\2024-04-30_02-03-50_UTC.jpg,posts/kirtitewani\2024-04-30_02-03-50_UTC.mp4,2024-04-30 02:03:50,GraphVideo,[],True
kirtitewani,C6RMPvLsVgg,,"Using bakuchiol from @kaia.skin 
What do you use?",596,posts/kirtitewani\2024-04-27_14-41-39_UTC.jpg,posts/kirtitewani\2024-04-27_14-41-39_UTC.mp4,2024-04-27 14:41:39,GraphVideo,[],True
kirtitewani,C6OfTh5LWcd,,Hair removal tip that never gets old!,603,posts/kirtitewani\2024-04-26_13-29-37_UTC.jpg,posts/kirtitewani\2024-04-26_13-29-37_UTC.mp4,2024-04-26 13:29:37,GraphVideo,[],True
kirtitewani,C6ObRARrGge,,Do you have tonsil stones? Make sure you are cleaning your tongue.,3867,posts/kirtitewani\2024-04-26_13-09-06_UTC.jpg,posts/kirtitewani\2024-04-26_13-09-06_UTC.mp4,2024-04-26 13:09:06,GraphVideo,[],True
kirtitewani,C6NSdG4M7dc,,I am mentally still living in Spain!,560,posts/kirtitewani\2024-04-26_02-17-43_UTC_1.jpg,posts/kirtitewani\2024-04-26_02-17-43_UTC_1.jpg,2024-04-26 02:17:43,GraphSidecar,[],False
kirtitewani,C6L-MuQrho4,,"Short on time, have tried wrapping your hair?",711,posts/kirtitewani\2024-04-25_14-04-02_UTC.jpg,posts/kirtitewani\2024-04-25_14-04-02_UTC.mp4,2024-04-25 14:04:02,GraphVideo,[],True
kirtitewani,C6JU8-FLXUe,,"The way herbs are harvested and grown directly impacts their potency. I love herbs from @organicindiausa because of their transparent sourcing, consistent support for small farmers, and their regenerative agricultural practices.",585,posts/kirtitewani\2024-04-24_13-26-33_UTC.jpg,posts/kirtitewani\2024-04-24_13-26-33_UTC.mp4,2024-04-24 13:26:33,GraphVideo,[],True
kirtitewani,C6GzOQmrCoq,,When I live on cafe con leche (decaf) and churros con chocolate for an entire week!,769,posts/kirtitewani\2024-04-23_13-50-41_UTC.jpg,posts/kirtitewani\2024-04-23_13-50-41_UTC.mp4,2024-04-23 13:50:41,GraphVideo,[],True
kirtitewani,C5_A-5_Lgt0,,"Do you oil pull? 
This post is not intended to encourage caffeine. Also, I only drink decaf. But make sure you find your balance and consistently oil pull especially if you are someone who drinks a lot of tea or coffee.",287,posts/kirtitewani\2024-04-20_13-15-58_UTC.jpg,posts/kirtitewani\2024-04-20_13-15-58_UTC.mp4,2024-04-20 13:15:58,GraphVideo,[],True
kirtitewani,C551zb8LhHi,,3 tablespoons of Yogurt and 1 tablespoon of Amla from @organicindiausa - mix apply and leave for 20-30 mins. Rinse with water. Shampoo the same day for better results shampoo the next day. This will leave your hair super shiny!,17807,posts/kirtitewani\2024-04-18_13-02-38_UTC.jpg,posts/kirtitewani\2024-04-18_13-02-38_UTC.mp4,2024-04-18 13:02:38,GraphVideo,[],True
kirtitewani,C53MpyZsTqk,,"Brows health is so real! I am also trying a new brow hair growth serum, will update if it works!

Have you ever tried @kulfi.beauty brow gel?",2484,posts/kirtitewani\2024-04-17_12-25-12_UTC.jpg,posts/kirtitewani\2024-04-17_12-25-12_UTC.mp4,2024-04-17 12:25:12,GraphVideo,[],True
kirtitewani,C50l_bDuLNz,,Instead of taking laxatives try something natural. Keep the limit to one tbsp and make sure you are close to the bathroom.,1212,posts/kirtitewani\2024-04-16_12-07-42_UTC.jpg,posts/kirtitewani\2024-04-16_12-07-42_UTC.mp4,2024-04-16 12:07:42,GraphVideo,[],True
kirtitewani,C5yKk4lrZj7,,"Pack my daughter’s lunch with me. 

Pesto recipe 
⅓ cup pine nuts 
2 - 3 garlic cloves
2 cups packed fresh basil leaves
⅔ cup extra virgin olive oil
½ cup grated Parmigiano

I add my salt and pepper when I cook! 
GF Tortellini from @wholefoods
Salt and pepper @spicewell",316,posts/kirtitewani\2024-04-15_13-31-45_UTC.jpg,posts/kirtitewani\2024-04-15_13-31-45_UTC.mp4,2024-04-15 13:31:45,GraphVideo,[],True
kirtitewani,C5qaBnKrCFF,,"Let’s break down some fear mongering. Castor oil is amazing. Just look for a hexane free, cold pressed castor oil. If a company is extracting the oil here locally in the USA, then the cost is high and it’s understandable, but most are not, there is absolutely no reason to overpay for castor oil. And buy your oils, and herbs from companies that are super transparent about their sourcing. Here are a few I like - 

@organicindiausa 
@banyanbotanicals (has an amazing castor oil and is reasonably priced)
@takeyourpotion 
@herbpharm 
@diasporaco 
@spicewell 
@burlapandbarrel",960,posts/kirtitewani\2024-04-12_13-17-28_UTC.jpg,posts/kirtitewani\2024-04-12_13-17-28_UTC.mp4,2024-04-12 13:17:28,GraphVideo,[],True
kirtitewani,C5n6waLLuhX,,Comment “Oil Pulling”if you would like this one with 7 essential oil added! It’s a simple and easy everyday practice that will change your oral health completely.,1863,posts/kirtitewani\2024-04-11_13-59-10_UTC.jpg,posts/kirtitewani\2024-04-11_13-59-10_UTC.mp4,2024-04-11 13:59:10,GraphVideo,[],True
kirtitewani,C5j_-G2sldO,,"Drink this for 40 days and you will see your skin change because your gut will be changing! Would you like more tips for glowing skin from the inside out? 

Along with coriander seeds, make sure you focus on a healthy diet, good sleep, movement and meditation or breath-work. 

Using coriander from @diasporaco",5802,posts/kirtitewani\2024-04-10_01-29-41_UTC.jpg,posts/kirtitewani\2024-04-10_01-29-41_UTC.mp4,2024-04-10 01:29:41,GraphVideo,[],True
kirtitewani,C5e6JLaMDJS,,"Holi! One of my favorite festivals. One goal is to bring family and friends together and the other goal is to keep my kids rooted and close to their culture 💜

Color courtesy of @kulture_khazana",759,posts/kirtitewani\2024-04-08_00-54-00_UTC_1.jpg,posts/kirtitewani\2024-04-08_00-54-00_UTC_1.jpg,2024-04-08 00:54:00,GraphSidecar,[],False
kirtitewani,C5a-TDkrJyh,,Don’t waste your money on it instead wait for a DIY!,1219,posts/kirtitewani\2024-04-06_13-20-05_UTC.jpg,posts/kirtitewani\2024-04-06_13-20-05_UTC.mp4,2024-04-06 13:20:05,GraphVideo,[],True
kirtitewani,C5YdwSur9Ay,,Would you ever try this or would you rather spend the $40?,887,posts/kirtitewani\2024-04-05_13-57-24_UTC.jpg,posts/kirtitewani\2024-04-05_13-57-24_UTC.mp4,2024-04-05 13:57:24,GraphVideo,[],True
kirtitewani,C5TRGIEraRF,,"Want a link to the oil? Just comment amla! 

Want me to post the step by step massage technique? Just comment “more”",3658,posts/kirtitewani\2024-04-03_13-31-01_UTC.jpg,posts/kirtitewani\2024-04-03_13-31-01_UTC.mp4,2024-04-03 13:31:01,GraphVideo,[],True
kirtitewani,C5QuXpAOzmW,,"Need a link to the curler, just comment curler. 

Last time I posted this you guys sold out this curler!",1978,posts/kirtitewani\2024-04-02_13-50-23_UTC.jpg,posts/kirtitewani\2024-04-02_13-50-23_UTC.mp4,2024-04-02 13:50:23,GraphVideo,[],True
kirtitewani,C5OEzLTLnE8,,"Things I have learned as an adult that actually make sense. And yes I put the oil on both sides! The one with the water has a much high absorption. 

Yes, oil and water don’t mix but we are not mixing oil and water we are applying oil to wet hair. It’s different.",918,posts/kirtitewani\2024-04-01_13-07-47_UTC.jpg,posts/kirtitewani\2024-04-01_13-07-47_UTC.mp4,2024-04-01 13:07:47,GraphVideo,[],True
kirtitewani,C5JFYZ3rdny,,Who else has similar problems?,1756,posts/kirtitewani\2024-03-30_14-35-27_UTC.jpg,posts/kirtitewani\2024-03-30_14-35-27_UTC.mp4,2024-03-30 14:35:27,GraphVideo,[],True
kirtitewani,C5GV20PLIE3,,"Equal parts - total 1tablespoon 
Carom seeds 
Fennel seeds
Cumin seeds 
Coriander seeds
Boil for 5 mins - strain and enjoy your tea 💜 
Bloating and chickpea are like best friends.. does it happen to you too?",2082,posts/kirtitewani\2024-03-29_13-01-37_UTC.jpg,posts/kirtitewani\2024-03-29_13-01-37_UTC.mp4,2024-03-29 13:01:37,GraphVideo,[],True
kirtitewani,C5Dw0JWLwfD,,"Moon Milk 
12 oz any unsweetened milk (regular or nut milk) ½ tsp ground Organic India Ceylon cinnamon
 ¼ tsp ground Turmeric
 ¼ tsp ground Organic India Ashwagandha 
A pinch pinches of ground Cardamom (or more)
A pinch of ground or freshly grated Nutmeg
A grind or two of Black Pepper 
1/2 tsp of Jaggery or sweetener of choice (optional)
The best time to consume is an hour before bed.
#ad",633,posts/kirtitewani\2024-03-28_13-00-39_UTC.jpg,posts/kirtitewani\2024-03-28_13-00-39_UTC.mp4,2024-03-28 13:00:39,GraphVideo,['ad'],True
kirtitewani,C4_4wgcsugc,,I am obsessed with hair oiling but some of these claims are just pure bullssssssskip! Do you think brands capitalize on our weaknesses?,573,posts/kirtitewani\2024-03-27_00-52-28_UTC.jpg,posts/kirtitewani\2024-03-27_00-52-28_UTC.mp4,2024-03-27 00:52:28,GraphVideo,[],True
kirtitewani,C48D3ppOWj9,,"Manuka honey is better for flu. I made a little Flu Care products accessible. If you need it, just write Flu Care below 💜",660,posts/kirtitewani\2024-03-25_13-18-52_UTC.jpg,posts/kirtitewani\2024-03-25_13-18-52_UTC.mp4,2024-03-25 13:18:52,GraphVideo,[],True
kirtitewani,C4xy-omsfpl,,"No I am not hurt, but it’s interesting to see how many people are bothered by my hair color…. Something that doesn’t belong to them, simply because I am a woman and as a woman I am expected to live a life that is designed by this society.",9670,posts/kirtitewani\2024-03-21_13-32-04_UTC.jpg,posts/kirtitewani\2024-03-21_13-32-04_UTC.mp4,2024-03-21 13:32:04,GraphVideo,[],True
kirtitewani,C4sq2vNMz6d,,"Have you tried this affordable skincare hack? Around the eyes I only applied castor oil. 
For every 1oz of carrier oil add 5 drops of essential oil. 
You can that to directly castor or mix 1/2 oz castor and 1/5 oz  jojoba together with 5 drops of frankincense.",3108,posts/kirtitewani\2024-03-19_13-46-01_UTC.jpg,posts/kirtitewani\2024-03-19_13-46-01_UTC.mp4,2024-03-19 13:46:01,GraphVideo,[],True
kirtitewani,C4rS5-msYRk,,You can always add turmeric to your food. For long term consumption of turmeric as a supplement please talk to your provider! Have you ever heard of brainflammation?,627,posts/kirtitewani\2024-03-19_00-57-31_UTC.jpg,posts/kirtitewani\2024-03-19_00-57-31_UTC.mp4,2024-03-19 00:57:31,GraphVideo,[],True
kirtitewani,C4qEyHesc6C,,How do you wash your hair? In sections or multiple times?,1268,posts/kirtitewani\2024-03-18_13-34-02_UTC.jpg,posts/kirtitewani\2024-03-18_13-34-02_UTC.mp4,2024-03-18 13:34:02,GraphVideo,[],True
kirtitewani,C4nccaAOV3w,,"Comment BRUSH if you want the link! 
Literally the best toothbrush ever especially if you have any sensitivity in your teeth and gums!",1537,posts/kirtitewani\2024-03-17_13-03-21_UTC.jpg,posts/kirtitewani\2024-03-17_13-03-21_UTC.mp4,2024-03-17 13:03:21,GraphVideo,[],True
kirtitewani,C4jtT0WsM4H,,Facts about kiwi I promise you didn’t know… or did you?,1364,posts/kirtitewani\2024-03-16_02-13-15_UTC.jpg,posts/kirtitewani\2024-03-16_02-13-15_UTC.mp4,2024-03-16 02:13:15,GraphVideo,[],True
kirtitewani,C4iZJxZs4ES,,Do you check your dates before you eat them?,8537,posts/kirtitewani\2024-03-15_13-58-10_UTC.jpg,posts/kirtitewani\2024-03-15_13-58-10_UTC.mp4,2024-03-15 13:58:10,GraphVideo,[],True
kirtitewani,C4alfO2rkSK,,"This is your reminder to live a balanced life and not drink those weird combinations of smoothies everyday. Do you love smoothies? 

OV @liverhealthmd",3025,posts/kirtitewani\2024-03-12_13-13-19_UTC.jpg,posts/kirtitewani\2024-03-12_13-13-19_UTC.mp4,2024-03-12 13:13:19,GraphVideo,[],True
kirtitewani,C4Vd53uLb8n,,Comment salt or pepper for the link! The best salt and pepper I have tried so far!,942,posts/kirtitewani\2024-03-10_13-33-29_UTC.jpg,posts/kirtitewani\2024-03-10_13-33-29_UTC.mp4,2024-03-10 13:33:29,GraphVideo,[],True
kirtitewani,C4UJttgMx7q,,Do this one thing everyday and see your hair health change!,1694,posts/kirtitewani\2024-03-10_01-13-35_UTC.jpg,posts/kirtitewani\2024-03-10_01-13-35_UTC.mp4,2024-03-10 01:13:35,GraphVideo,[],True
kirtitewani,C4TAJsas4XN,,So many of you have asked a skincare routine! So here it is. It’s a much longer video but if you are interested in watching long form videos please let me know and I can start posting longer videos!,403,posts/kirtitewani\2024-03-09_14-31-47_UTC.jpg,posts/kirtitewani\2024-03-09_14-31-47_UTC.mp4,2024-03-09 14:31:47,GraphVideo,[],True
kirtitewani,C4PQg2rMxVw,,Self care is everything. Do you use a kansa?,894,posts/kirtitewani\2024-03-08_03-37-19_UTC.jpg,posts/kirtitewani\2024-03-08_03-37-19_UTC.mp4,2024-03-08 03:37:19,GraphVideo,[],True
kirtitewani,C4N0w94sKQ1,,Do you wet your hair before oiling?,809,posts/kirtitewani\2024-03-07_14-15-24_UTC.jpg,posts/kirtitewani\2024-03-07_14-15-24_UTC.mp4,2024-03-07 14:15:24,GraphVideo,[],True
kirtitewani,C4J3GqSsR_s,,"Which remedy should I post next? 

 Home remedy for dark circles. If they are sure to lack of sleep, focus on that, if they are sure to nutritional deficiency focus on replenishing, if they are due to excessive eating, try fasting while saffron helps tremendously externally it won’t help from it coming back unless the root cause is fixed.",985,posts/kirtitewani\2024-03-06_01-21-40_UTC.jpg,posts/kirtitewani\2024-03-06_01-21-40_UTC.mp4,2024-03-06 01:21:40,GraphVideo,[],True
kirtitewani,C4IsaI8LXCz,,"Remember to get your herbs and supplements from a trusted source. I get my psyllium husk from @organicindiausa 

This is an altered version the original recipe that I use to make year ago that was shared with me by a model I use to work. The addition of psyllium husk is there to make it easier on digestion.",1231,posts/kirtitewani\2024-03-05_14-29-15_UTC.jpg,posts/kirtitewani\2024-03-05_14-29-15_UTC.mp4,2024-03-05 14:29:15,GraphVideo,[],True
kirtitewani,C35N3fWMPjX,,"Did you know Ceylon Cinnamon is known as the “true” cinnamon, recognized for its superior flavor profile and functional benefits. #ad",493,posts/kirtitewani\2024-02-28_14-10-40_UTC.jpg,posts/kirtitewani\2024-02-28_14-10-40_UTC.mp4,2024-02-28 14:10:40,GraphVideo,['ad'],True
kirtitewani,C32q22RruDp,,@yo1catskillsny is just 2 hours away from NYC! Time to plan your Ayurvedic relaxing getaway.,624,posts/kirtitewani\2024-02-27_14-26-10_UTC.jpg,posts/kirtitewani\2024-02-27_14-26-10_UTC.mp4,2024-02-27 14:26:10,GraphVideo,[],True
kirtitewani,C3sVQtgLmdl,,"Glamming up was fun last night. I don’t remember the last time I put this much makeup on and dolled up! The makeup lasted the whole night, the hair survived the rain walk and the stomach has so much gratitude for being sore from the morning workout and still eating. 

Congratulations to the queen Sonal @sjsevents and the party ended talking me back in my 20s with @50cent

Special thanks to @rmrichardsnyc for accommodating my last minute dress request because what to wear is usually the last thing on my mind! 

As usual there are no filters on this post!",1875,posts/kirtitewani\2024-02-23_14-04-31_UTC_1.jpg,posts/kirtitewani\2024-02-23_14-04-31_UTC_1.jpg,2024-02-23 14:04:31,GraphSidecar,[],False
hemali.mistry,C7kSUaavX5t,,"As a brown girl that loves to show some skin I’m still very mindful of how I dress in front of my family out of respect and I’m sure many of you can relate. So here are some family friendly summer outfits I picked up from @winners! I love how many fun and unique designer pieces they have for the summer at affordable prices. Which outfit was your favourite? *AD #winnersmoment 

[ summer fashion, summer outfits, summer dress, outfit ideas, family friendly outfits, outfit inspo ]",176,posts/hemali.mistry\2024-05-29_21-10-48_UTC.jpg,posts/hemali.mistry\2024-05-29_21-10-48_UTC.mp4,2024-05-29 21:10:48,GraphVideo,['winnersmoment'],True
hemali.mistry,C7ens9vO0Fl,,"BIRTHDAY SERIES: ending off this birthday series sharing 3 things I do every year to celebrate myself. As someone who grew up in an immigrant household it wasn’t common to celebrate or treat yourself and so every year on my birthday I make sure I do just that. This is my way of practicing gratitude and taking the time to acknowledge how far I’ve come in life. Let me know what you do for yourself on your birthday every year! 

Reiki - @reyshrituals 

Hope you guys enjoyed this birthday series - till next year 🎂🥳❤️",767,posts/hemali.mistry\2024-05-27_16-27-29_UTC.jpg,posts/hemali.mistry\2024-05-27_16-27-29_UTC.mp4,2024-05-27 16:27:29,GraphVideo,[],True
hemali.mistry,C7cDKkKOEs8,,"31 and feeling young 🎂🥳 #birthdaygirl 

Thank you for all the birthday wishes and love ❤️ feeling blessed 🥰

Dress - @dynamiteclothing (linked on my LTK)",1567,posts/hemali.mistry\2024-05-26_16-25-42_UTC.jpg,posts/hemali.mistry\2024-05-26_16-25-42_UTC.mp4,2024-05-26 16:25:42,GraphVideo,['birthdaygirl'],True
hemali.mistry,C7W3TUZO2Sn,,"BIRTHDAY SERIES: Which outfit should I wear for my birthday brunch? 🥳👗

All dresses on my LTK - 🔗 in bio 
Dresses: @dynamiteclothing 

[ outfit ideas, birthday outfit, brunch outfit, summer outfit, dresses, summer dress, summer fashion, outfit inspo ]",609,posts/hemali.mistry\2024-05-24_16-05-00_UTC.jpg,posts/hemali.mistry\2024-05-24_16-05-00_UTC.mp4,2024-05-24 16:05:00,GraphVideo,[],True
